,locus,start,end,nbps,nsnps,gene_tree
55,55,0,100000,100000,8293,"(r4:0.020485,(r5:0.021188,r6:0.012925):0.003788,(((r3:0.014728,r2:0.006648):0.008294,(r0:0.017563,r1:0.01676):0.003462):0.004721,r7:0.010927):0.002111);"
56,56,0,100000,100000,7076,"((r0:0.015172,r1:0.014674):0.003749,((r3:0.009728,r6:0.009444):0.003894,r7:0.010844):0.002191,((r5:0.014757,r2:0.00831):0.002551,r4:0.015388):0.002037);"
57,57,0,100000,100000,6882,"((r1:0.014896,(r2:0.008964,r3:0.006709):0.00332):0.003061,r0:0.015653,(r7:0.008611,((r5:0.014676,r4:0.011891):0.003588,r6:0.009414):0.002186):0.002753);"
58,58,0,100000,100000,6992,"(r3:0.011319,(r7:0.009208,((r2:0.00954,(r5:0.016312,r4:0.012873):0.002337):0.002222,(r0:0.012473,r1:0.013577):0.003869):0.003851):0.003547,r6:0.011275);"
59,59,0,100000,100000,6953,"(r0:0.010971,r1:0.013647,(r3:0.0113,((r7:0.006666,r6:0.006573):0.001848,((r5:0.013202,r4:0.012871):0.002847,r2:0.01344):0.002872):0.001035):0.004348);"
60,60,0,100000,100000,7399,"((r6:0.01227,r3:0.008244):0.002749,((r0:0.014857,r1:0.012541):0.004773,r2:0.012491):0.003998,((r4:0.012691,r5:0.01287):0.003104,r7:0.01313):0.001546);"
61,61,0,100000,100000,7735,"(((r7:0.011892,r2:0.010522):0.002218,r3:0.01438):0.002718,((r4:0.014098,r5:0.010144):0.007374,(r1:0.014856,r0:0.01592):0.004262):0.002668,r6:0.011309);"
62,62,0,100000,100000,7040,"(r0:0.013738,(r2:0.007754,((r7:0.010999,(r4:0.015262,r5:0.013037):0.005349):0.002613,(r3:0.006125,r6:0.006863):0.002729):0.001749):0.002297,r1:0.011662);"
63,63,0,100000,100000,7086,"((r6:0.011545,(((r4:0.010885,r5:0.015661):0.004176,r3:0.005803):0.002327,(r1:0.011762,r0:0.012656):0.004288):0.002019):0.002035,r7:0.006396,r2:0.01154);"
64,64,0,100000,100000,7877,"(((r2:0.008465,(r4:0.015519,r5:0.016756):0.005558):0.003116,r7:0.011487):0.004,(r3:0.013202,(r0:0.017074,r1:0.014638):0.004945):0.00504,r6:0.013852);"
65,65,0,100000,100000,7596,"(((r6:0.010098,(r7:0.004545,r2:0.006861):0.00524):0.003105,(r0:0.014448,r1:0.015574):0.004885):0.002248,r3:0.010104,(r5:0.016003,r4:0.016572):0.003529);"
66,66,0,100000,100000,7168,"(r0:0.015559,((r3:0.00698,r2:0.006359):0.006154,((r1:0.015486,r7:0.00797):0.003308,(r5:0.014954,r4:0.012491):0.005549):0.002035):0.002427,r6:0.009316);"
67,67,0,100000,100000,7649,"(r6:0.011452,(((r5:0.015711,r4:0.013858):0.004093,r7:0.009925):0.00296,(r3:0.00976,r2:0.011569):0.0026):0.001686,(r0:0.011306,r1:0.013622):0.00805);"
68,68,0,100000,100000,8241,"(r4:0.018353,(r7:0.008373,(r3:0.010768,(r0:0.011749,r1:0.019003):0.009884):0.005393):0.005417,(r5:0.018861,(r6:0.011653,r2:0.013375):0.003896):0.002584);"
69,69,0,100000,100000,7475,"(r5:0.010076,r4:0.016347,(((r7:0.012434,r3:0.011091):0.004599,(r2:0.009012,r6:0.008067):0.003328):0.002933,(r1:0.012835,r0:0.01567):0.00614):0.006785);"
70,70,0,100000,100000,8073,"((r7:0.011083,r0:0.019824):0.003756,(r1:0.016877,r6:0.017772):0.004049,(r2:0.008225,((r5:0.0167,r4:0.014311):0.005727,r3:0.009615):0.003693):0.001652);"
71,71,0,100000,100000,6925,"((r0:0.013102,r1:0.013815):0.005119,(r7:0.007087,(r2:0.007126,r6:0.007117):0.006084):0.0015,((r5:0.017009,r4:0.015336):0.004429,r3:0.008218):0.002432);"
72,72,0,100000,100000,6494,"(r4:0.014777,((r5:0.015256,((r1:0.015503,r0:0.011847):0.003386,r3:0.007008):0.001362):0.002445,(r6:0.008761,r7:0.009756):0.00244):0.002489,r2:0.007856);"
73,73,0,100000,100000,7281,"(r0:0.013257,r1:0.014799,(r2:0.012351,(r6:0.00618,((r7:0.011322,(r4:0.015148,r5:0.013316):0.00599):0.00254,r3:0.007808):0.003858):0.003785):0.003927);"
74,74,0,100000,100000,7062,"(((r4:0.015179,r5:0.013201):0.002913,(r7:0.009318,(r1:0.011689,r0:0.012306):0.00464):0.003273):0.002744,r3:0.011578,(r6:0.005626,r2:0.010085):0.003881);"
75,75,0,100000,100000,7251,"(((r0:0.017248,r1:0.017432):0.003562,((r5:0.016758,r4:0.01356):0.004479,(r6:0.005263,r3:0.007253):0.004671):0.002523):0.003925,r7:0.009,r2:0.012103);"
76,76,0,100000,100000,7942,"(((r3:0.009024,r6:0.013568):0.00366,((r4:0.012021,r5:0.015396):0.005176,r7:0.013818):0.002739):0.002669,r1:0.018399,(r0:0.017949,r2:0.010129):0.003347);"
77,77,0,100000,100000,7285,"((((r4:0.011232,r5:0.01188):0.006043,r3:0.010459):0.001684,(r2:0.01403,(r7:0.00718,r6:0.009461):0.005945):0.002882):0.004857,r0:0.015541,r1:0.01231);"
78,78,0,100000,100000,7156,"(r1:0.010942,r0:0.012356,((((r5:0.014995,r4:0.014566):0.006254,(r2:0.01159,r3:0.00749):0.004035):0.001563,r6:0.004197):0.003124,r7:0.007194):0.007705);"
79,79,0,100000,100000,8001,"(r6:0.011168,((r3:0.014177,r7:0.011829):0.003651,((r5:0.013907,r4:0.013981):0.006648,(r0:0.010265,r1:0.014576):0.006727):0.002627):0.00347,r2:0.010515);"
80,80,0,100000,100000,7215,"((r1:0.014736,r0:0.01373):0.004975,r2:0.00865,(r3:0.007826,((r4:0.013653,r5:0.013847):0.003907,(r7:0.011162,r6:0.008386):0.004029):0.003184):0.001949);"
81,81,0,100000,100000,7298,"(r1:0.014719,r0:0.014606,((r3:0.008304,(r6:0.010645,r2:0.011198):0.003655):0.001888,(r7:0.009456,(r5:0.014428,r4:0.013847):0.006425):0.003083):0.004079);"
82,82,0,100000,100000,8191,"(r1:0.020028,((r0:0.019169,r3:0.014819):0.00464,((r6:0.009686,r7:0.011347):0.003599,(r5:0.014101,r4:0.01494):0.007607):0.002804):0.002468,r2:0.013409);"
