,locus,start,end,nbps,nsnps,gene_tree
34,34,0,100000,100000,11918,"((r1:0.018703,r0:0.015227):0.005443,r6:0.020718,((r7:0.021826,(r3:0.022249,(r5:0.017852,r4:0.015032):0.004232):0.001118):0.001256,r2:0.021353):0.001103);"
35,35,0,100000,100000,11725,"(r4:0.016778,((r7:0.019788,((r6:0.02176,(r0:0.017642,r1:0.016036):0.004817):0.00212,r3:0.022605):0.001655):0.001058,r2:0.020486):0.005307,r5:0.018671);"
36,36,0,100000,100000,12699,"(((r3:0.026004,(r1:0.017826,r0:0.017473):0.006538):0.003063,(r7:0.023691,r2:0.02184):0.003393):0.001905,r6:0.023978,(r5:0.021644,r4:0.019339):0.004664);"
37,37,0,100000,100000,11054,"(((((r4:0.016376,r5:0.014834):0.00338,r7:0.019083):0.001543,r6:0.019838):0.001041,(r0:0.013129,r1:0.012962):0.006744):0.001773,r3:0.016397,r2:0.019328);"
38,38,0,100000,100000,11713,"((r7:0.019211,(r4:0.016153,r5:0.019084):0.004022):0.001334,(((r1:0.01818,r0:0.015508):0.004733,r3:0.021587):0.002013,r2:0.02054):0.001578,r6:0.018824);"
39,39,0,100000,100000,11546,"(r6:0.017603,((r4:0.012806,r5:0.014646):0.007463,((r3:0.020359,r7:0.019136):0.002919,(r0:0.01634,r1:0.016532):0.00751):0.001777):0.002037,r2:0.018939);"
40,40,0,100000,100000,12014,"((((r1:0.016978,r0:0.019064):0.004566,(r4:0.015893,r5:0.015565):0.005321):0.001452,r3:0.021096):0.002164,r2:0.021105,(r6:0.020706,r7:0.020483):0.003263);"
41,41,0,100000,100000,10967,"(r7:0.018779,(r5:0.016122,r4:0.015809):0.002192,((r6:0.018812,(r0:0.013488,r1:0.010405):0.007437):0.000861,(r3:0.017254,r2:0.019031):0.002792):0.000729);"
42,42,0,100000,100000,12023,"(((r6:0.023273,(r5:0.01747,r4:0.017539):0.007326):0.001508,r7:0.022893):0.002293,(r0:0.013008,r1:0.013995):0.007936,(r3:0.018694,r2:0.018958):0.004554);"
43,43,0,100000,100000,11809,"(r5:0.016289,((r2:0.02084,((r1:0.017017,r0:0.016842):0.006367,r3:0.022783):0.002018):0.001502,(r7:0.021783,r6:0.019842):0.002923):0.00509,r4:0.017675);"
44,44,0,100000,100000,12592,"(r3:0.020462,(((r5:0.018444,r4:0.0188):0.005469,(r7:0.021943,r6:0.022625):0.003648):0.001548,(r0:0.01715,r1:0.017064):0.007079):0.003064,r2:0.021914);"
45,45,0,100000,100000,11986,"(r6:0.019367,(r0:0.015625,r1:0.01369):0.007819,(r7:0.021919,((r3:0.025299,(r4:0.019559,r5:0.01627):0.005962):0.002984,r2:0.021153):0.001568):0.001806);"
46,46,0,100000,100000,12147,"((r6:0.0219,((r7:0.022141,(r0:0.01904,r1:0.020457):0.002931):0.001258,r3:0.019663):0.003429):0.002316,r2:0.021068,(r5:0.014111,r4:0.016433):0.007623);"
47,47,0,100000,100000,11930,"((r2:0.020146,(r1:0.016722,r0:0.017659):0.003333):0.001358,r6:0.022902,((r7:0.021452,(r5:0.021551,r4:0.018157):0.003713):0.001181,r3:0.020455):0.001928);"
48,48,0,100000,100000,11600,"((r4:0.013923,r5:0.016589):0.005752,(r2:0.019608,r3:0.019894):0.002246,(r6:0.019645,(r7:0.022031,(r0:0.016333,r1:0.017978):0.004938):0.002374):0.000975);"
49,49,0,100000,100000,11945,"((((r3:0.020651,(r0:0.017164,r1:0.017294):0.005887):0.002239,r7:0.020947):0.000786,(r5:0.017623,r4:0.017195):0.0041):0.002789,r2:0.020382,r6:0.021044);"
50,50,0,100000,100000,12475,"((r0:0.013649,r1:0.014615):0.007332,(r7:0.022903,(r3:0.019424,(r6:0.02338,(r4:0.019269,r5:0.0224):0.00529):0.002376):0.002004):0.00244,r2:0.021738);"
51,51,0,100000,100000,12042,"((r0:0.01754,r1:0.019296):0.005544,r2:0.023275,((r3:0.022683,(r4:0.015614,r5:0.015068):0.006781):0.003422,(r6:0.020919,r7:0.019687):0.003113):0.001501);"
52,52,0,100000,100000,11360,"(r4:0.017334,(((r3:0.018591,(r6:0.019505,r2:0.018592):0.002188):0.00174,r7:0.020392):0.00121,(r0:0.016313,r1:0.015849):0.005666):0.005705,r5:0.014613);"
53,53,0,100000,100000,10748,"((r7:0.016819,(r6:0.017726,(r4:0.014099,r5:0.014271):0.003782):0.001258):0.001917,(r3:0.019321,(r0:0.011866,r1:0.013402):0.005367):0.001664,r2:0.018717);"
54,54,0,100000,100000,12018,"(r2:0.022534,(r6:0.021296,r7:0.018482):0.004233,(((r1:0.016035,r0:0.017189):0.007726,r3:0.021929):0.002366,(r5:0.018736,r4:0.019458):0.005333):0.001604);"
55,55,0,100000,100000,11850,"(((r7:0.022674,(r5:0.015854,r4:0.015565):0.00917):0.002869,r6:0.025789):0.002315,(r0:0.015179,r1:0.015466):0.006912,(r2:0.02019,r3:0.019856):0.001831);"
56,56,0,100000,100000,11867,"((r4:0.018887,r5:0.020712):0.003956,((r0:0.018403,r1:0.015049):0.005712,(r3:0.02116,(r2:0.020017,r7:0.02171):0.002424):0.001762):0.001351,r6:0.021246);"
57,57,0,100000,100000,11619,"(r6:0.022972,(r1:0.016372,r0:0.016501):0.004211,(((r4:0.012993,r5:0.011946):0.006377,r3:0.020714):0.001412,(r2:0.020149,r7:0.018053):0.00356):0.001429);"
58,58,0,100000,100000,11697,"((r3:0.019298,r7:0.022278):0.002029,(r4:0.017957,r5:0.018578):0.00422,(r6:0.020461,(r2:0.021061,(r0:0.01364,r1:0.01473):0.007619):0.001823):0.001688);"
59,59,0,100000,100000,12351,"((r2:0.021471,(r3:0.022621,r6:0.021901):0.003482):0.002063,(r0:0.014719,r1:0.014377):0.009068,(r7:0.021211,(r4:0.018225,r5:0.018307):0.006908):0.002519);"
60,60,0,100000,100000,11500,"(r5:0.014012,r4:0.014649,((((r0:0.013385,r1:0.013912):0.006761,r3:0.019839):0.001612,(r6:0.018501,r2:0.019273):0.003019):0.001732,r7:0.019477):0.006128);"
61,61,0,100000,100000,12332,"((r7:0.020656,(((r5:0.017718,r4:0.016103):0.007836,r3:0.02407):0.001983,r2:0.022552):0.002388):0.002104,r6:0.021994,(r0:0.0188,r1:0.017965):0.00614);"
62,62,0,100000,100000,11684,"(((r2:0.021242,((r1:0.015326,r0:0.016168):0.006032,(r4:0.017753,r5:0.018489):0.004338):0.001619):0.00103,r3:0.019913):0.002271,r6:0.018094,r7:0.021567);"
63,63,0,100000,100000,11344,"((r3:0.020531,r6:0.017181):0.002026,((r4:0.013746,r5:0.014408):0.004396,r7:0.022591):0.003158,((r0:0.016377,r1:0.017301):0.002869,r2:0.019286):0.001663);"
64,64,0,100000,100000,11509,"(((r0:0.015941,r1:0.015096):0.006549,(r4:0.015923,r5:0.014309):0.00599):0.001428,((r6:0.018979,r7:0.020387):0.001752,r3:0.020951):0.001753,r2:0.020486);"
65,65,0,100000,100000,11447,"((r7:0.0198,r3:0.01886):0.002865,(r6:0.01867,(r5:0.014074,r4:0.016003):0.005749):0.001307,(r2:0.020807,(r0:0.016113,r1:0.020794):0.002759):0.001357);"
66,66,0,100000,100000,11592,"(r3:0.018857,r6:0.020808,(((r1:0.017223,r0:0.014723):0.004383,r7:0.020204):0.001046,((r4:0.016612,r5:0.017419):0.005343,r2:0.019752):0.00175):0.002145);"
67,67,0,100000,100000,11903,"((r2:0.02174,(((r1:0.019852,r0:0.015182):0.006108,r6:0.020715):0.001064,(r4:0.017977,r5:0.016211):0.005372):0.002016):0.002827,r3:0.02248,r7:0.020201);"
68,68,0,100000,100000,10564,"((r4:0.013228,r5:0.016464):0.004159,((r6:0.019325,(r0:0.013503,r1:0.013522):0.005183):0.001143,r7:0.017907):0.001781,(r3:0.017569,r2:0.015644):0.00128);"
69,69,0,100000,100000,11828,"((r0:0.01544,r1:0.013898):0.005696,((r6:0.021918,(r7:0.023262,(r5:0.016554,r4:0.016626):0.005494):0.002749):0.001535,r3:0.020571):0.002062,r2:0.02181);"
70,70,0,100000,100000,11079,"(r1:0.013319,(((r3:0.019536,r6:0.018427):0.001572,(r5:0.014507,r4:0.013453):0.005441):0.001637,(r2:0.018369,r7:0.017167):0.001522):0.006118,r0:0.01596);"
71,71,0,100000,100000,12344,"(r0:0.019482,r1:0.021497,((r7:0.024256,(r3:0.022419,(r4:0.018978,r5:0.016481):0.006512):0.002216):0.002426,(r6:0.022838,r2:0.023759):0.002564):0.00416);"
72,72,0,100000,100000,12670,"(((r2:0.024565,r3:0.019515):0.00174,r6:0.023614):0.002188,r7:0.021927,((r0:0.017986,r1:0.016951):0.00791,(r5:0.017626,r4:0.018918):0.007033):0.001952);"
73,73,0,100000,100000,11713,"(((r4:0.015416,r5:0.01589):0.004421,r3:0.022344):0.002454,(r7:0.019522,(r6:0.019009,(r0:0.016385,r1:0.013923):0.007009):0.00143):0.001714,r2:0.020814);"
74,74,0,100000,100000,12129,"(r2:0.022345,((r1:0.017009,r0:0.017494):0.002925,((r7:0.025497,r3:0.018024):0.002143,r6:0.022265):0.001205):0.001191,(r5:0.01613,r4:0.014799):0.004593);"
