1 10000000.0 39 13.6930779913749 3744.0 1  0 0 (((r4:0.002297,r3:0.002031):0.00055,(r5:0.003859,(r6:0.003824,r7:0.004333):0.000741):0.000358):0.000453,(r1:0.002386,r0:0.002453):0.000656,r2:0.002843); 1.8112781244591316 0.12857142857142856
1 10000000.0 3 13.552251608291638 3632.0 1  0 0 (r7:0.004523,((r3:0.002399,((r0:0.002326,r1:0.002455):0.000777,r2:0.002826):0.000604):0.000475,(r5:0.003516,r4:0.002235):0.000504):0.000662,r6:0.00382); 1.7342878726159023 0.11428571428571432
1 10000000.0 40 13.665808634257557 3686.0 1  0 0 (r3:0.002292,((((r1:0.002456,r0:0.002549):0.000727,r2:0.002701):0.000451,r5:0.00376):0.00033,(r7:0.004286,r6:0.003815):0.000735):0.000537,r4:0.002237); 2.979400370452434 0.30000000000000004
1 10000000.0 41 13.64243657774224 3618.0 1  0 0 (r5:0.003732,r4:0.002239,((r3:0.002161,((r0:0.002384,r1:0.002298):0.00071,r2:0.002799):0.000624):0.000496,(r7:0.004424,r6:0.003966):0.000639):0.000476); 1.7342878726159023 0.11428571428571432
1 10000000.0 42 13.729800238521168 3678.0 1  0 0 (r5:0.003597,r4:0.00201,((r7:0.004441,r6:0.003844):0.000765,(r3:0.001993,(r2:0.002827,(r0:0.002378,r1:0.002492):0.000677):0.000358):0.000431):0.000405); 1.7342878726159023 0.11428571428571432
1 10000000.0 43 13.521742276246291 3687.0 1  0 0 (((r4:0.002111,r3:0.002172):0.000548,(r2:0.002596,(r1:0.002391,r0:0.002431):0.000727):0.000502):0.000329,(r6:0.003935,r7:0.004435):0.000706,r5:0.003715); 1.8112781244591316 0.12857142857142856
1 10000000.0 44 13.722747038536513 3604.0 1  0 0 ((((r7:0.00446,r6:0.003705):0.000709,r4:0.002061):0.000272,(r5:0.003429,r3:0.001899):0.000486):0.000403,(r0:0.002357,r1:0.002265):0.00073,r2:0.002792); 2.591131994150069 0.24285714285714288
1 10000000.0 45 13.768516438253576 3601.0 1  0 0 ((((r2:0.002795,(r0:0.002363,r1:0.002332):0.000755):0.000468,(r4:0.001988,r3:0.00203):0.000499):0.000321,r5:0.003777):0.000629,r7:0.004496,r6:0.0037); 1.8112781244591316 0.12857142857142856
1 10000000.0 46 13.366152742918608 3774.0 1  0 0 ((r1:0.002384,r0:0.002343):0.000747,(((r5:0.003643,r3:0.001991):0.000582,r4:0.002276):0.000347,(r7:0.004581,r6:0.003761):0.000762):0.000454,r2:0.002849); 3.5911319941500697 0.3285714285714286
1 10000000.0 47 13.868453369934263 3687.0 1  0 0 (r4:0.002252,((((r1:0.002482,r0:0.002511):0.000778,r2:0.002821):0.000543,r3:0.00234):0.00035,(r7:0.004601,r6:0.003988):0.00063):0.000556,r5:0.00368); 1.7342878726159023 0.11428571428571432
1 10000000.0 48 13.66241803580638 3436.0 1  0 0 ((r5:0.003523,r4:0.00198):0.000541,(r7:0.00441,r6:0.003861):0.000739,(r3:0.002239,(r2:0.00289,(r0:0.002201,r1:0.002308):0.000813):0.000509):0.000382); 1.7342878726159023 0.11428571428571432
1 10000000.0 49 13.751294580993363 3740.0 1  0 0 ((r2:0.002933,(r1:0.00228,r0:0.002327):0.000897):0.000416,((r6:0.003832,r7:0.004492):0.000681,(r3:0.002062,r4:0.002243):0.00048):0.000387,r5:0.003864); 2.979400370452434 0.30000000000000004
1 10000000.0 4 13.616519174041297 3663.0 1  0 0 (((r5:0.003595,r3:0.002051):0.000521,(r4:0.002317,(r7:0.004362,r6:0.003742):0.000632):0.000379):0.000464,r2:0.00271,(r1:0.002273,r0:0.002335):0.000824); 2.591131994150069 0.24285714285714288
1 10000000.0 50 13.663848396501457 3586.0 1  0 0 (r5:0.003712,(r2:0.002738,(r0:0.002441,r1:0.002377):0.000728):0.000464,((r3:0.002107,r4:0.00227):0.00057,(r6:0.003943,r7:0.004425):0.000654):0.000393); 2.979400370452434 0.30000000000000004
