1000 100000.0 30 13.205260229077474 91.086 828 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.132019762771)1:0.16226921043)0.6:0.0186544355718)0.86:0.0363676441709,(r6:1,r7:1)1:0.141641830136):0); 0.0 0.0 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.368157774287)1:0.295454457072)0.46:0.0132407867554,((r7:1,r6:1)1:0.246772169708,r5:1)0.53:0.0180820803144):0); 0.0 0.0
1000 100000.0 31 13.124908715386669 91.041 815 (r4:1,((r6:1,r7:1)1:0.127243226907,(r5:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.155900461551)1:0.146314331498)0.51:0.0167901862394)0.55:0.0188452934787):0); 0.17556643393915275 0.11428571428571432 (r4:1,((r5:1,(r7:1,r6:1)1:0.268094939176)0.44:0.00783531134237,(r3:1,(r2:1,(r0:1,r1:1)1:0.327006687107)1:0.347900932445)0.73:0.028028172721):0); 0.0 0.0
1000 100000.0 32 13.211050536263443 90.331 837 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.157653310378)1:0.125500362643)0.57:0.0183152225428)0.42:0.00840183009985)1:0.144754403978,r7:1):0); 0.0 0.0 (r3:1,((r2:1,(r0:1,r1:1)1:0.259122770543)1:0.34816621962,(r5:1,((r7:1,r6:1)1:0.270448804524,r4:1)0.52:0.0129455713515)0.89:0.0395670934823):0); 0.17556643393915275 0.11428571428571432
1000 100000.0 33 13.133092424850673 91.758 809 (r7:1,(r6:1,(r4:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.122150701897)1:0.165358356753)0.55:0.0195029718976,r5:1)0.45:0.00821295485139)1:0.143024000362):0); 0.17556643393915275 0.11428571428571432 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.295102140588)1:0.336035269168)0.61:0.0203522288489)0.41:0.00745781039413)1:0.268486865499):0); 0.0 0.0
1000 100000.0 34 13.175151275945671 91.338 821 (r0:1,((r2:1,(r3:1,(r5:1,(r4:1,(r6:1,r7:1)1:0.136132174325)0.5:0.0137048728306)0.45:0.00852776675388)1:0.184096357595)1:0.119107588813,r1:1):0); 0.17556643393915275 0.11428571428571432 (r7:1,(((r5:1,r4:1)0.46:0.00915768803455,(r3:1,(r2:1,(r0:1,r1:1)1:0.282301965821)1:0.356960413538)0.87:0.0379228544377)1:0.290683575456,r6:1):0); 0.19443359141936595 0.11428571428571432
1000 100000.0 35 13.190500566200862 90.652 816 (r7:1,(r6:1,(r5:1,((r3:1,r4:1)0.4:0.00467290569939,((r1:1,r0:1)1:0.138538914355,r2:1)1:0.161608490221)0.43:0.00689182603792)1:0.131336002061):0); 0.20410776171712283 0.12857142857142856 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,((r0:1,r1:1)1:0.317081047307,r2:1)1:0.298226985628)0.7:0.0247800289985)0.84:0.0367562200452)1:0.199572397713):0); 0.0 0.0
1000 100000.0 36 13.19225062493276 90.715 805 (r2:1,((r0:1,r1:1)1:0.153801090591,(r3:1,(r4:1,((r7:1,r6:1)1:0.0960797065834,r5:1)0.51:0.0125661367045)0.66:0.0218827112495)1:0.141124008427):0); 0.0 0.0 (r4:1,((r5:1,(r6:1,r7:1)1:0.286284448185)0.53:0.0138947883188,(r3:1,(r2:1,(r1:1,r0:1)1:0.291084457401)1:0.324308750428)0.59:0.0195029718976):0); 0.0 0.0
1000 100000.0 37 13.25407681545075 90.52 811 (r5:1,(r4:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.164695593004)1:0.163371381819)0.59:0.0177642466658,(r6:1,r7:1)1:0.168457075478)0.38:0.00369061814457):0); 0.19443359141936595 0.11428571428571432 (r5:1,((r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.353113432944)1:0.280217494373)0.79:0.0308428022302)0.41:0.00802411527005,(r7:1,r6:1)1:0.243708207142):0); 0.0 0.0
1000 100000.0 38 13.133195420437529 91.1 808 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.15520018141)0.45:0.00877968765205)0.9:0.0416478988109)1:0.134673760306)1:0.131677823975):0); 0.0 0.0 (r3:1,((r2:1,(r1:1,r0:1)1:0.285486681888)1:0.343930047015,(r4:1,((r7:1,r6:1)1:0.213203111609,r5:1)0.73:0.0261250191138)0.74:0.0273434756727):0); 0.0 0.0
1000 100000.0 39 13.13898134320609 91.339 828 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.156250785604)1:0.104486771609)0.82:0.0338671039587)0.45:0.00934674182091)1:0.162577695989):0); 0.0 0.0 (r4:1,((r5:1,(r6:1,r7:1)1:0.293895139838)0.54:0.0144647512867,(r3:1,((r1:1,r0:1)1:0.256408012235,r2:1)1:0.322238356314)0.48:0.0117234636961):0); 0.0 0.0
