1000 10000.0 31 13.600007390144734 7.428 940 (r6:1,(r7:1,(r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.125542835408)1:0.131677823975)0.4:0.00500752173062,r5:1)0.54:0.0144647512867)1:0.144754403978):0); 0.17556643393915275 0.11428571428571432 (r7:1,(((r5:1,r4:1)0.44:0.00747509086985,(r3:1,(r2:1,(r0:1,r1:1)1:0.134967143051)1:0.112727829588)0.56:0.0189422641699)1:0.133568240645,r6:1):0); 0.19443359141936595 0.11428571428571432
1000 10000.0 32 13.551758705679214 7.484 934 (r4:1,((r5:1,(r7:1,r6:1)1:0.133046281253)0.8:0.0326836845997,(r3:1,((r0:1,r1:1)1:0.144408083628,r2:1)1:0.131037003703)0.41:0.00684991401126):0); 0.0 0.0 (r6:1,(r7:1,((r4:1,r5:1)0.53:0.0172756554004,((r2:1,(r0:1,r1:1)1:0.135300991387)1:0.130922679518,r3:1)0.72:0.0277359485203)1:0.19570123774):0); 0.19443359141936595 0.11428571428571432
1000 10000.0 33 13.639854714321995 7.446 935 (r7:1,(r6:1,((r5:1,r4:1)0.49:0.0137048728306,(r3:1,(r2:1,(r0:1,r1:1)1:0.155900461551)1:0.138969299557)0.63:0.0201823197499)1:0.150878068638):0); 0.19443359141936595 0.11428571428571432 (r4:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.172056633978)1:0.124555464203)0.47:0.0103303106576,(r5:1,(r6:1,r7:1)1:0.129503337842)0.65:0.0230015027407):0); 0.0 0.0
1000 10000.0 34 13.585213625066302 7.541 939 (r0:1,(r1:1,((r3:1,(r5:1,(r4:1,(r6:1,r7:1)1:0.13991679952)0.48:0.0140847398817)0.63:0.0239270049768)1:0.124439129391,r2:1)1:0.0895028989245):0); 0.17556643393915275 0.11428571428571432 (r7:1,((r5:1,((r3:1,r4:1)0.4:0.00538149028981,(r2:1,(r0:1,r1:1)1:0.113287491511)1:0.143468441394)0.82:0.035795365341)1:0.131508969425,r6:1):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 35 13.799227169171349 7.382 932 (r6:1,(r7:1,(r5:1,((r4:1,r3:1)0.4:0.0056770898842,(r2:1,(r1:1,r0:1)1:0.103696898571)1:0.153713712374)0.65:0.0210746647641)1:0.14891963041):0); 0.20410776171712283 0.12857142857142856 (r5:1,(r4:1,((r6:1,r7:1)1:0.139049561356,((r2:1,(r0:1,r1:1)1:0.124212592183)1:0.149615524662,r3:1)0.47:0.0140527661185)0.44:0.00789903751029):0); 0.19443359141936595 0.11428571428571432
1000 10000.0 36 13.449765076826846 7.494 931 (r3:1,((r2:1,(r0:1,r1:1)1:0.133731212787)1:0.139184561639,(r5:1,(r4:1,(r7:1,r6:1)1:0.157653310378)0.5:0.0114286958236)0.41:0.00550965581097):0); 0.17556643393915275 0.11428571428571432 (r1:1,(r0:1,(r2:1,(r3:1,((r5:1,(r7:1,r6:1)1:0.131769277631)0.66:0.0222122154261,r4:1)0.39:0.00429558912102)1:0.131594533603)1:0.161370927801):0); 0.0 0.0
1000 10000.0 37 13.691134153184345 7.469 941 (r3:1,(((r6:1,r7:1)1:0.148702262731,(r4:1,r5:1)0.46:0.00953583135537)0.57:0.0170018578106,(r2:1,(r0:1,r1:1)1:0.157302494728)1:0.152622128378):0); 0.19443359141936595 0.11428571428571432 (r4:1,((r5:1,(r6:1,r7:1)1:0.124750261032)0.59:0.0186554256615,(r3:1,(r2:1,(r1:1,r0:1)1:0.138047926683)1:0.139700351948)0.41:0.00541533334935):0); 0.0 0.0
1000 10000.0 38 13.717451231387813 7.47 938 (r6:1,(r7:1,((r3:1,(r4:1,(r2:1,(r0:1,r1:1)1:0.123506174826)1:0.153276935779)0.41:0.00534224976722)0.75:0.0342331716422,r5:1)1:0.168590092527):0); 0.1790338045715902 0.12857142857142856 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.147383505433)1:0.138531125277)0.52:0.0128974611405)0.47:0.010058111873)1:0.157579108413,r7:1):0); 0.0 0.0
1000 10000.0 39 13.841773984574512 7.441 933 (r7:1,(r6:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.180365429301)1:0.152185828196)0.62:0.0191634709608,(r5:1,r4:1)0.7:0.0261250191138)1:0.13617510107):0); 0.19443359141936595 0.11428571428571432 (r5:1,(r4:1,((r6:1,r7:1)1:0.156148038824,((r2:1,(r0:1,r1:1)1:0.159142584798)1:0.136859182717,r3:1)0.66:0.021990414927)0.73:0.0346366414883):0); 0.19443359141936595 0.11428571428571432
1000 10000.0 3 13.443152299747265 7.432 928 (r2:1,((r0:1,r1:1)1:0.124863487555,(r3:1,((r6:1,r7:1)1:0.121685182094,(r5:1,r4:1)0.44:0.0118076990497)0.95:0.0478290876899)1:0.123379021161):0); 0.19443359141936595 0.11428571428571432 (r3:1,((r2:1,(r0:1,r1:1)1:0.118325650297)1:0.143820009439,(r4:1,(r5:1,(r7:1,r6:1)1:0.146483864121)0.5:0.0125099364067)0.73:0.0296851515178):0); 0.0 0.0
1000 10000.0 40 13.790929614895301 7.472 945 (r7:1,(r6:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.131336002061)1:0.166906515859)0.38:0.00316851761792)0.59:0.023436845452,r5:1)1:0.151357381922):0); 0.0 0.0 (r6:1,((r5:1,((r4:1,r3:1)0.43:0.0077328214625,(r2:1,(r0:1,r1:1)1:0.127165554689)1:0.134402777507)0.63:0.0207789458043)1:0.157246977068,r7:1):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 41 13.489515171666069 7.513 938 (r3:1,(r5:1,((r4:1,(r2:1,(r0:1,r1:1)1:0.141641830136)1:0.138754083802)0.5:0.0131986077901,(r7:1,r6:1)1:0.131891522021)0.39:0.00444292211084):0); 0.29912715116429606 0.24285714285714288 (r7:1,((r5:1,(r3:1,(r4:1,(r2:1,(r0:1,r1:1)1:0.149943171952)1:0.145654996766)0.37:0.00252554376004)0.5:0.0187841522781)1:0.151124027608,r6:1):0); 0.1790338045715902 0.12857142857142856
1000 10000.0 42 13.74699118804833 7.349 942 (r7:1,(r6:1,(r5:1,((r2:1,(r0:1,r1:1)1:0.153801090591)1:0.149934638109,(r3:1,r4:1)0.43:0.00802411527005)0.47:0.00991411772266)1:0.154850225151):0); 0.20410776171712283 0.12857142857142856 (r0:1,(r1:1,(r2:1,((r4:1,r3:1)0.58:0.0172756324069,(r5:1,(r6:1,r7:1)1:0.152502554197)0.47:0.00986685682857)1:0.164516830845)1:0.146062588641):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 43 13.5769055160128 7.485 926 (r4:1,(((r3:1,(r6:1,r7:1)1:0.141987193634)0.47:0.0102925472447,(r2:1,(r1:1,r0:1)1:0.154850225151)1:0.144725539368)0.43:0.00684991401126,r5:1):0); 0.31325379773618617 0.2857142857142857 (r0:1,(r1:1,((r4:1,(r3:1,(r5:1,(r6:1,r7:1)1:0.144745580854)0.55:0.0157237987098)0.69:0.0246695155018)1:0.138414889693,r2:1)1:0.15409942012):0); 0.1790338045715902 0.12857142857142856
1000 10000.0 44 13.810421032848772 7.45 932 (r3:1,((r2:1,(r0:1,r1:1)1:0.130311236813)1:0.124651285963,((r6:1,r7:1)1:0.116410351844,(r4:1,r5:1)0.4:0.00613767818921)0.84:0.0354615538882):0); 0.19443359141936595 0.11428571428571432 (r0:1,((r2:1,(r3:1,(r5:1,(r4:1,(r7:1,r6:1)1:0.108102121213)0.55:0.014828635042)0.52:0.0185832394577)1:0.151098321521)1:0.149020885055,r1:1):0); 0.17556643393915275 0.11428571428571432
