1000 1000.0 24 10.036264285714285 1.662 754 (r6:1,(r7:1,(r4:1,(r5:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.132019762771)1:0.126775330942)0.53:0.0147604155831)0.5:0.0121868459737)1:0.12181212055):0); 0.17556643393915275 0.11428571428571432 (r1:1,(r0:1,(r2:1,(r3:1,(r5:1,(r4:1,(r7:1,r6:1)1:0.124009074736)0.6:0.0322557103011)0.48:0.0155011823105)1:0.111413587371)1:0.183696397431):0); 0.17556643393915275 0.11428571428571432
1000 1000.0 25 9.919892857142859 1.69 762 (r1:1,(r0:1,(r2:1,((r4:1,(r5:1,(r6:1,r7:1)1:0.150660274887)0.66:0.0319098404907)0.74:0.0271723746371,r3:1)1:0.132105265743)1:0.2184095198):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.143138700202)0.72:0.0360658204568)0.84:0.0453302474993)1:0.134358560541)1:0.244276219512):0); 0.0 0.0
1000 1000.0 26 10.040621428571427 1.672 777 (r3:1,((r2:1,(r0:1,r1:1)1:0.122828208698)1:0.14566406595,((r4:1,r5:1)0.81:0.0319098404907,(r7:1,r6:1)1:0.147833264197)0.63:0.0201823197499):0); 0.19443359141936595 0.11428571428571432 (r7:1,(r6:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.17214011345)1:0.144373306989)0.4:0.00574853541335,(r5:1,r4:1)0.91:0.0557783572997)1:0.162699941355):0); 0.19443359141936595 0.11428571428571432
1000 1000.0 27 9.982646428571428 1.701 777 (r5:1,(((r4:1,r3:1)0.59:0.0218827112495,(r2:1,(r1:1,r0:1)1:0.150660274887)1:0.136532895628)0.92:0.0441679957345,(r7:1,r6:1)1:0.131336002061):0); 0.20410776171712283 0.12857142857142856 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.177558555586)1:0.145344614115)0.45:0.017381721517)0.63:0.0257361305171)1:0.197762741282):0); 0.0 0.0
1000 1000.0 28 9.701823809523809 1.697 781 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.128946514664)0.93:0.0449513878623)0.64:0.0225636782489)1:0.116831315858)1:0.191917904353,r1:1):0); 0.0 0.0 (r4:1,((r5:1,(r6:1,r7:1)1:0.171493817851)0.87:0.0490837795817,(r3:1,(r2:1,(r1:1,r0:1)1:0.187799950461)1:0.129489032901)0.64:0.0268024364752):0); 0.0 0.0
1000 1000.0 29 9.968685714285716 1.699 790 (r7:1,(r6:1,(r4:1,(r5:1,(r3:1,((r0:1,r1:1)1:0.149963653473,r2:1)1:0.14891963041)0.52:0.016620881236)0.68:0.0247800289985)1:0.138194739511):0); 0.17556643393915275 0.11428571428571432 (r7:1,(r6:1,((r3:1,r4:1)0.72:0.0352295251959,(r5:1,((r1:1,r0:1)1:0.16039315713,r2:1)1:0.157435953817)0.49:0.0143529927408)1:0.174565154343):0); 0.3340250044126062 0.30000000000000004
1000 1000.0 2 9.984919047619048 1.691 773 (r1:1,(r0:1,(r2:1,((r3:1,r4:1)0.57:0.0181456591681,(r5:1,(r7:1,r6:1)1:0.147876696194)0.52:0.0158593632401)1:0.146169791496)1:0.118770036068):0); 0.20410776171712283 0.12857142857142856 (r3:1,(((r2:1,(r1:1,r0:1)1:0.132146317776)1:0.163532943254,(r5:1,(r6:1,r7:1)1:0.194041073233)0.56:0.0209212651606)0.46:0.0129382899766,r4:1):0); 0.20410776171712283 0.12857142857142856
1000 1000.0 30 9.85997380952381 1.692 781 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.157302494728)1:0.155900461551)0.55:0.0149294058666)0.4:0.00557244030322)1:0.115064456621,r7:1):0); 0.0 0.0 (r1:1,(r0:1,(r2:1,(r3:1,((r5:1,(r7:1,r6:1)1:0.10546902849)0.4:0.00654309858894,r4:1)0.63:0.0269990165312)1:0.17657559393)1:0.203124684424):0); 0.0 0.0
1000 1000.0 31 10.070904761904762 1.645 769 (r0:1,(r1:1,((r4:1,(r3:1,(r5:1,(r7:1,r6:1)1:0.116073708179)0.52:0.0127558360317)0.63:0.0239270049768)1:0.125925171486,r2:1)1:0.138538914355):0); 0.1790338045715902 0.12857142857142856 (r6:1,(r7:1,((r3:1,(r4:1,(r2:1,(r0:1,r1:1)1:0.127480346841)1:0.15548490284)0.68:0.0351115204031)0.54:0.0180871184911,r5:1)1:0.125804157804):0); 0.1790338045715902 0.12857142857142856
1000 1000.0 32 10.267129761904764 1.692 817 (r1:1,((r2:1,(r4:1,(r3:1,(r5:1,(r7:1,r6:1)1:0.139572150197)0.79:0.0336518326083)0.52:0.016451604892)1:0.140908328495)1:0.175710094126,r0:1):0); 0.1790338045715902 0.12857142857142856 (r5:1,((r7:1,r6:1)1:0.124269544886,((r3:1,(r2:1,(r0:1,r1:1)1:0.190577339502)1:0.127049822357)0.62:0.0277960210636,r4:1)0.57:0.0268636422695):0); 0.0 0.0
