2000 10000.0 45 553.303 23.367 1461 (r5:1,((r6:1,r7:1)1:0.224081022087,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.251657172811)1:0.19207662935)0.53:0.00979292195324)0.93:0.0327648356289):0); 0.0 0.0 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.304018021089)1:0.307542316638)0.43:0.00653542334531)0.91:0.0298358515335)1:0.240797721588,r6:1):0); 0.0 0.0
2000 10000.0 46 555.428 23.3085 1440 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.184182357475)1:0.230148916243)0.79:0.0266727493457)0.58:0.0119716752425)1:0.204760339354,r7:1):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,((r7:1,r6:1)1:0.257038180155,r5:1)0.67:0.0161967351916)0.82:0.0238933674369)1:0.305280804808)1:0.285583645501):0); 0.0 0.0
2000 10000.0 47 553.0095 23.4715 1474 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.232368882674)1:0.205105385076)0.71:0.0186638456693)0.8:0.0226496296874,(r7:1,r6:1)1:0.18887974642):0); 0.0 0.0 (r2:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.234710950607)0.85:0.0254482846835)0.95:0.0338669310314)1:0.298907516682,(r1:1,r0:1)1:0.268067773507):0); 0.0 0.0
2000 10000.0 48 554.0255 23.1225 1437 (r6:1,(r7:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.255327610622)1:0.224620466004)0.8:0.0219789067188)0.81:0.0262985678633,r5:1)1:0.219215743029):0); 0.0 0.0 (r6:1,(r7:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.306864891869)1:0.29138775769)0.75:0.0196476610456)0.81:0.0277101825289,r5:1)1:0.236831131391):0); 0.0 0.0
2000 10000.0 49 554.16 23.066 1438 (r3:1,((r2:1,(r0:1,r1:1)1:0.2357792687)1:0.234759670997,(r4:1,(r5:1,(r6:1,r7:1)1:0.211406108691)0.68:0.0182502346805)0.79:0.0222343671877):0); 0.0 0.0 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.314195891304)1:0.321432490082)0.55:0.0121441382553)0.55:0.0132176495684)1:0.253633290709,r6:1):0); 0.0 0.0
2000 10000.0 4 555.9505 23.2555 1469 (r6:1,(r7:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.193963272254)1:0.201431021085)0.78:0.0214681814778,(r4:1,r5:1)0.46:0.0069581851027)1:0.231919768485):0); 0.19443359141936595 0.11428571428571432 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.259349887668)1:0.287619366699)0.53:0.00969222411205)0.96:0.0363118390424,(r6:1,r7:1)1:0.222628763716):0); 0.0 0.0
2000 10000.0 50 552.219 23.2305 1435 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.227651447753)1:0.224972434096)0.63:0.0145142864272)0.91:0.0296712523419)1:0.224831631993,r7:1):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,((r5:1,(r4:1,(r6:1,r7:1)1:0.267575891007)0.5:0.00838989308679)0.56:0.011149452014,r3:1)1:0.322881004965)1:0.294912471495):0); 0.17556643393915275 0.11428571428571432
2000 10000.0 51 551.9785 23.12 1442 (r2:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.232368882674)0.63:0.014915786776)0.72:0.0181548102804)1:0.205105385076,(r1:1,r0:1)1:0.215303302081):0); 0.0 0.0 (r1:1,(r0:1,(r2:1,(r3:1,(r4:1,((r6:1,r7:1)1:0.275075602348,r5:1)0.79:0.0221755458636)0.89:0.0283223299189)1:0.299522492932)1:0.282990742792):0); 0.0 0.0
2000 10000.0 52 553.8045 23.4075 1438 (r7:1,(((r4:1,r5:1)0.45:0.0114976292512,(r3:1,(r2:1,(r1:1,r0:1)1:0.210295408836)1:0.223916901247)0.63:0.015106027431)1:0.232274315555,r6:1):0); 0.19443359141936595 0.11428571428571432 (r2:1,((r0:1,r1:1)1:0.287882212551,(r3:1,((r5:1,(r6:1,r7:1)1:0.246009376051)0.8:0.0248933351924,r4:1)0.85:0.0252663442705)1:0.30239332681):0); 0.0 0.0
2000 10000.0 53 555.738 23.169 1484 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,((r6:1,r7:1)1:0.221645423693,r5:1)0.67:0.0172964001938)0.7:0.0179003897218)1:0.206371572296)1:0.180224805988):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,((r1:1,r0:1)1:0.245372589353,r2:1)1:0.29788817125)0.7:0.0177648567642)0.69:0.0184920727567)1:0.229632670893):0); 0.0 0.0
