2000 10000.0 30 449.6065 15.5065 1544 (r5:1,(((r3:1,r4:1)0.4:0.00358797164088,(r2:1,(r0:1,r1:1)1:0.220897200688)1:0.208293097809)0.94:0.0346385237881,(r6:1,r7:1)1:0.202554861526):0); 0.20410776171712283 0.12857142857142856 (r6:1,(r7:1,(r5:1,((r4:1,(r2:1,(r1:1,r0:1)1:0.249511001282)1:0.245757550313)0.5:0.00885969597296,r3:1)0.83:0.0261350839862)1:0.226184098442):0); 0.1790338045715902 0.12857142857142856
2000 10000.0 31 447.232 15.4915 1545 (r6:1,(r7:1,(r5:1,((r4:1,r3:1)0.55:0.0110553889812,((r0:1,r1:1)1:0.173425710195,r2:1)1:0.236143097768)0.94:0.0326357450717)1:0.220897200688):0); 0.20410776171712283 0.12857142857142856 (r4:1,((r5:1,(r7:1,r6:1)1:0.21423330555)0.98:0.0403203012951,((r2:1,(r0:1,r1:1)1:0.230367881506)1:0.22958762982,r3:1)0.44:0.00628121632181):0); 0.0 0.0
2000 10000.0 32 451.132 15.3985 1531 (r7:1,(r6:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.195785098227)1:0.216675570842)0.81:0.022745483989,r4:1)0.55:0.0132052475392)1:0.22220695857):0); 0.0 0.0 (r2:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.260807531283)0.86:0.0267039842506)0.85:0.0262982277429)1:0.213098322325,(r0:1,r1:1)1:0.231928012338):0); 0.0 0.0
2000 10000.0 33 447.093 15.635 1555 (r2:1,((r1:1,r0:1)1:0.247615985747,(r3:1,(r4:1,((r6:1,r7:1)1:0.193053602402,r5:1)0.86:0.0257215338023)0.62:0.0187487100984)1:0.191282122753):0); 0.0 0.0 (r5:1,((r6:1,r7:1)1:0.229532385078,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.242620580321)1:0.216693330122)0.9:0.0299089306885)0.77:0.0219579531205):0); 0.0 0.0
2000 10000.0 34 447.0145 15.5615 1579 (r7:1,(r6:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.217909894508)1:0.225207148332)0.61:0.0142607902917)0.97:0.0376178006032,r5:1)1:0.21233263521):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,((r1:1,r0:1)1:0.232654535364,r2:1)1:0.23575415861)0.56:0.0116722969454)0.91:0.0303392262276)1:0.217096470971):0); 0.0 0.0
2000 10000.0 35 449.6405 15.5855 1517 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r1:1,r0:1)1:0.192508197425)1:0.243447616153,r3:1)0.86:0.025561305637)0.66:0.0167245359007)1:0.196514758968):0); 0.0 0.0 (r3:1,((r2:1,(r0:1,r1:1)1:0.247999002813)1:0.24413275557,(r4:1,((r7:1,r6:1)1:0.236729961976,r5:1)0.95:0.0348547476621)0.63:0.0143522222222):0); 0.0 0.0
2000 10000.0 36 450.1275 15.679 1538 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.208631668735)1:0.220756971179)0.68:0.0162059048633)0.85:0.0269721953728)1:0.193781272072,r7:1):0); 0.0 0.0 (r1:1,((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.237855274907)0.63:0.0143778009603)0.73:0.0192695109379)1:0.229288690009)1:0.251257138106,r0:1):0); 0.0 0.0
2000 10000.0 37 449.945 15.603 1557 (r2:1,((r1:1,r0:1)1:0.204024639487,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.181841911722)0.93:0.0318937975869)0.68:0.0181548102804)1:0.20384079906):0); 0.0 0.0 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r1:1,r0:1)1:0.259505624904)1:0.219410272206,r3:1)0.59:0.0209618116109)0.93:0.0320671318676)1:0.218415055245):0); 0.0 0.0
2000 10000.0 38 448.7605 15.434 1520 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.218282820114)1:0.20729344376)0.69:0.0224047104297)0.61:0.0134901342986)1:0.197610249309):0); 0.0 0.0 (r2:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.209178237066)0.99:0.0461966991232)0.61:0.0167027920977)1:0.241579079339,(r0:1,r1:1)1:0.217506705762):0); 0.0 0.0
2000 10000.0 39 446.4645 15.5055 1530 (r2:1,((r0:1,r1:1)1:0.204024639487,((r4:1,(r5:1,(r7:1,r6:1)1:0.199987936758)0.71:0.0179639887933)0.82:0.0257322165928,r3:1)1:0.234048938914):0); 0.0 0.0 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.243343699939)1:0.248883037438)0.6:0.0155961798337)0.66:0.0156107218386)1:0.242981344506,r6:1):0); 0.0 0.0
2000 10000.0 3 448.4785 15.418 1531 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.204576363639)1:0.207062896209)0.58:0.0122351312601,((r6:1,r7:1)1:0.211961921582,r5:1)0.86:0.0288993495633):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.250197973338)1:0.244357551487)0.67:0.0167435266093)0.68:0.0219956741296)1:0.226360927908):0); 0.0 0.0
2000 10000.0 40 447.9385 15.6345 1548 (r3:1,((r2:1,(r1:1,r0:1)1:0.204576363639)1:0.215977571745,((r7:1,r6:1)1:0.239153716426,(r5:1,r4:1)0.41:0.00375516776232)0.59:0.0124459460601):0); 0.19443359141936595 0.11428571428571432 (r2:1,((r0:1,r1:1)1:0.252850471764,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.236942641274)0.79:0.022050241925)0.42:0.0047217625669)1:0.237527504638):0); 0.0 0.0
2000 10000.0 41 446.352 15.2985 1555 (r1:1,(r0:1,(((r4:1,r3:1)0.48:0.0125724562759,(r5:1,(r6:1,r7:1)1:0.214188267585)0.94:0.0327648356289)1:0.238519148308,r2:1)1:0.232747240605):0); 0.20410776171712283 0.12857142857142856 (r5:1,((r7:1,r6:1)1:0.21378950767,((r4:1,r3:1)0.94:0.037252936531,(r2:1,(r1:1,r0:1)1:0.259026816691)1:0.242015026268)0.78:0.0222678036813):0); 0.20410776171712283 0.12857142857142856
2000 10000.0 42 446.917 15.3685 1538 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.219402432099)1:0.227674979657)0.91:0.0296712523419,(r5:1,(r7:1,r6:1)1:0.210665505066)0.96:0.0361594366288):0); 0.0 0.0 (r5:1,((r7:1,r6:1)1:0.221989135546,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.252542254859)1:0.229419103258)0.9:0.0320956193935)0.83:0.0241343330192):0); 0.0 0.0
2000 10000.0 43 446.7045 15.495 1510 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.210665505066)1:0.1956027662)0.54:0.0110553889812)1:0.0487714237154)1:0.207155108851):0); 0.0 0.0 (r3:1,((r4:1,(r5:1,(r7:1,r6:1)1:0.219506955671)0.89:0.0281474742684)0.76:0.0217883419178,(r2:1,(r1:1,r0:1)1:0.271767672522)1:0.241795710709):0); 0.0 0.0
2000 10000.0 44 449.4615 15.49 1543 (r4:1,((r5:1,(r7:1,r6:1)1:0.203473219566)0.89:0.0285136214969,(r3:1,((r0:1,r1:1)1:0.258428989344,r2:1)1:0.218655884845)0.89:0.0289850871207):0); 0.0 0.0 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r1:1,r0:1)1:0.242502667953)1:0.20888597662,r3:1)0.89:0.0293031069639)0.86:0.0264355022637)1:0.224010935827):0); 0.0 0.0
2000 10000.0 45 446.158 15.509 1552 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.193963272254)1:0.207870045287)0.99:0.0469802089242)0.51:0.00894165682735)1:0.22052329902):0); 0.0 0.0 (r5:1,((r6:1,r7:1)1:0.236831131391,((r3:1,(r2:1,(r0:1,r1:1)1:0.246082980631)1:0.233178663455)0.92:0.0308302464818,r4:1)0.68:0.0164664898536):0); 0.0 0.0
2000 10000.0 46 444.435 15.44 1545 (r2:1,((r1:1,r0:1)1:0.197975679607,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.22426862175)0.42:0.00620361045833)0.8:0.0224047104297)1:0.204530374998):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,((r2:1,(r1:1,r0:1)1:0.255099468621)1:0.237439176262,(r3:1,r4:1)0.89:0.0313354976345)0.44:0.00639948293796)1:0.268488006989):0); 0.20410776171712283 0.12857142857142856
2000 10000.0 47 447.988 15.505 1539 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.216978188487)1:0.193553818415)0.76:0.0199375689341)0.67:0.0159625585326)1:0.241489219501):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,((r5:1,(r7:1,r6:1)1:0.223306782796)0.99:0.0473103212609,(r3:1,r4:1)0.75:0.0232044749118)1:0.236539549512)1:0.266082104578):0); 0.20410776171712283 0.12857142857142856
2000 10000.0 48 446.9325 15.5535 1561 (r2:1,((r0:1,r1:1)1:0.220336400598,(r3:1,((r5:1,(r7:1,r6:1)1:0.215861285914)0.91:0.0298643211716,r4:1)0.51:0.00886812471217)1:0.195830686429):0); 0.0 0.0 (r1:1,((r2:1,(r4:1,(r3:1,(r5:1,(r6:1,r7:1)1:0.252818866657)0.93:0.0321645075919)0.59:0.0123446207355)1:0.196048851676)1:0.252152084182,r0:1):0); 0.1790338045715902 0.12857142857142856
2000 10000.0 49 448.6875 15.618 1562 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.18040435532)1:0.225794175059)0.96:0.0358680188794)0.78:0.0223621218988)1:0.216419581267):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,((r6:1,r7:1)1:0.248499976047,r5:1)0.8:0.0226654784088)0.95:0.0344036663615)1:0.231272232334)1:0.22621999386):0); 0.0 0.0
2000 10000.0 4 448.092 15.5545 1556 (r2:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.216233448181)0.67:0.0159625585326)0.84:0.0258176830259)1:0.17418384344,(r0:1,r1:1)1:0.200720671723):0); 0.0 0.0 (r7:1,((r5:1,((r3:1,r4:1)0.49:0.0107838247465,(r2:1,(r0:1,r1:1)1:0.235647495612)1:0.204895305164)0.97:0.0381618932698)1:0.244109265511,r6:1):0); 0.20410776171712283 0.12857142857142856
2000 10000.0 50 448.6 15.5325 1516 (r4:1,((r5:1,(r6:1,r7:1)1:0.243399804722)0.93:0.0326680161488,(r3:1,(r2:1,(r1:1,r0:1)1:0.210110412073)1:0.217257609157)0.54:0.0102977175218):0); 0.0 0.0 (r6:1,(r7:1,((r5:1,r4:1)0.63:0.014836644994,((r2:1,(r0:1,r1:1)1:0.253900732349)1:0.22233433405,r3:1)0.72:0.0211365138816)1:0.294298145229):0); 0.19443359141936595 0.11428571428571432
