2000 100000.0 30 5540.293 214.3795 705 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.175210468834)1:0.232274315555)0.45:0.00794418193089)0.99:0.0446477065315)1:0.188155633426,r7:1):0); 0.0 0.0 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.859111495329)1:0.963734819652)1:0.0767511681085)1:0.0637392404476,(r7:1,r6:1)1:0.693447075599):0); 0.0 0.0
2000 100000.0 31 5535.665 213.8495 673 (r3:1,((r2:1,(r0:1,r1:1)1:0.184723239125)1:0.219122411562,((r5:1,(r7:1,r6:1)1:0.21233263521)0.6:0.0129204419171,r4:1)0.72:0.0184941384139):0); 0.0 0.0 (r1:1,((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.746098915604)1:0.0698499531764)1:0.0580407149383)1:1.02842073559)1:0.818530237748,r0:1):0); 0.0 0.0
2000 100000.0 32 5550.118 214.8 716 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.220710232378)0.85:0.0255292630845)0.85:0.0253904238868)1:0.189695000779)1:0.22201974524):0); 0.0 0.0 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.82843638195)1:0.944515154931,r3:1)1:0.07172738433)1:0.0565743177671)1:0.702788713519):0); 0.0 0.0
2000 100000.0 33 5532.525 214.5865 698 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,((r6:1,r7:1)1:0.197610249309,r5:1)0.78:0.0215958383364)0.81:0.0246218171621)1:0.234048938914)1:0.209740521187):0); 0.0 0.0 (r6:1,(r7:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.913296717662)1:0.945720700586)1:0.079272556207)1:0.067842323512,r5:1)1:0.680336041542):0); 0.0 0.0
2000 100000.0 34 5544.49 214.62 702 (r3:1,((r2:1,(r0:1,r1:1)1:0.216233448181)1:0.195147081526,(r4:1,((r6:1,r7:1)1:0.216233448181,r5:1)0.68:0.0176778248194)0.87:0.0279567212747):0); 0.0 0.0 (r4:1,((r5:1,(r6:1,r7:1)1:0.657797402708)1:0.0635395200555,((r2:1,(r1:1,r0:1)1:0.890026969647)1:0.942348828412,r3:1)1:0.0527585475374):0); 0.0 0.0
2000 100000.0 35 5536.471 214.696 674 (r7:1,(((r4:1,r5:1)0.46:0.00658082660765,(r3:1,(r2:1,(r0:1,r1:1)1:0.229158607044)1:0.208677846381)0.99:0.0462166419386)1:0.214815321497,r6:1):0); 0.19443359141936595 0.11428571428571432 (r1:1,(r0:1,(r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.713135732185)1:0.0520234591017)1:0.0617549038562)1:1.02267209159)1:0.881302813986):0); 0.0 0.0
2000 100000.0 36 5548.166 214.4395 698 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.251657172811)1:0.194122549591)0.9:0.0296712523419,((r6:1,r7:1)1:0.220897200688,r5:1)0.75:0.0210215107624):0); 0.0 0.0 (r2:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.657797402708)1:0.0632400142378)1:0.0677086247351)1:0.907846351294,(r1:1,r0:1)1:0.941339479837):0); 0.0 0.0
2000 100000.0 37 5537.5045 214.1405 696 (r5:1,((r7:1,r6:1)1:0.208077703252,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.210110412073)1:0.189581731254)0.56:0.0138384394808)0.95:0.0368397418205):0); 0.0 0.0 (r5:1,((r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.865859878247)1:0.973112973282)1:0.0849690316681)1:0.0564751655187,(r6:1,r7:1)1:0.741367791813):0); 0.0 0.0
2000 100000.0 38 5526.839 213.685 700 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.191963089753)1:0.222043144989)0.48:0.0101294240175)0.83:0.0242804037071)1:0.214374020349,r7:1):0); 0.0 0.0 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.709471605949)0.99:0.0434726182647)1:0.0617549038562)1:0.952984655044)1:0.880940954022,r1:1):0); 0.0 0.0
2000 100000.0 39 5540.5635 213.5545 685 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.231423613675)1:0.222394206955,r3:1)0.83:0.0242804037071)0.47:0.0105502108952)1:0.214002549319):0); 0.0 0.0 (r5:1,((r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.878411594047)1:1.01333592419)1:0.0530219943008)0.97:0.0389808618599,(r7:1,r6:1)1:0.712829875018):0); 0.0 0.0
2000 100000.0 3 5544.3325 214.248 708 (r7:1,(r6:1,(r5:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.219029088805)1:0.206256398095)0.93:0.0325066711767,r4:1)0.73:0.0188229723823)1:0.204024639487):0); 0.0 0.0 (r1:1,((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.684191896831)0.99:0.0481812791128)1:0.0516177462203)1:0.973857113215)1:0.845749833812,r0:1):0); 0.0 0.0
2000 100000.0 40 5528.0225 214.19 688 (r3:1,((r2:1,(r0:1,r1:1)1:0.243782360197)1:0.208562406265,(r4:1,((r7:1,r6:1)1:0.223893457611,r5:1)0.9:0.0293817189712)0.48:0.00760841427895):0); 0.0 0.0 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.92042219315)1:0.936594796713)1:0.0784614165114)1:0.0531098253139)1:0.691948498966,r7:1):0); 0.0 0.0
2000 100000.0 41 5541.5475 213.9485 689 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.225582805737)1:0.222394206955)0.58:0.0124881143537)0.85:0.0260100092117)1:0.188698669008,r6:1):0); 0.0 0.0 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.846099178793)1:0.907149729879)1:0.0669068072392)1:0.0525171156256)1:0.728238500371,r6:1):0); 0.0 0.0
2000 100000.0 42 5526.5265 213.359 699 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.211406108691)1:0.206832401797)0.95:0.0343152235364)0.66:0.0153914562898)1:0.211035738317,r7:1):0); 0.0 0.0 (r5:1,((r6:1,r7:1)1:0.667394684458,(r4:1,(r3:1,((r0:1,r1:1)1:0.87301298457,r2:1)1:1.02737306655)1:0.0621093566733)1:0.0598518694919):0); 0.0 0.0
2000 100000.0 43 5534.2375 214.304 713 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.204024639487)1:0.210064168229)0.68:0.0164598946204)0.5:0.00846904469133)1:0.237488833178):0); 0.0 0.0 (r1:1,((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.695849479157)1:0.0756949763678)0.96:0.0359543560261)1:0.955174170577)1:0.846099178793,r0:1):0); 0.0 0.0
2000 100000.0 44 5534.703 213.4595 673 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.200171070171)0.89:0.0277426114355)0.78:0.0212129166392)1:0.214583033459)1:0.206601960501):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,(r3:1,((r5:1,(r7:1,r6:1)1:0.773989808284)1:0.0579634825073,r4:1)0.99:0.0429725367192)1:1.01050050535)1:0.862302421632):0); 0.0 0.0
2000 100000.0 45 5528.782 213.369 697 (r7:1,(r6:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.229913039369)1:0.197313435489)0.78:0.0218937677293,r4:1)0.64:0.0159625585326)1:0.21048043983):0); 0.0 0.0 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.841915072271)1:0.993148704859)1:0.0706541349649)1:0.0528134265567)1:0.628421270684,r7:1):0); 0.0 0.0
2000 100000.0 46 5545.1715 214.8635 701 (r7:1,((r5:1,((r4:1,r3:1)0.59:0.013163048995,(r2:1,(r0:1,r1:1)1:0.244739389651)1:0.19956075584)0.57:0.0117504258145)1:0.228970087862,r6:1):0); 0.20410776171712283 0.12857142857142856 (r3:1,((r2:1,(r0:1,r1:1)1:0.891488424054)1:0.963243660507,(r4:1,(r5:1,(r6:1,r7:1)1:0.706124577113)0.98:0.039760588995)0.99:0.0472421375938):0); 0.0 0.0
2000 100000.0 47 5544.585 214.54 688 (r0:1,(r1:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.20237129108)0.87:0.0269721953728)0.7:0.0179851893827)1:0.223448132927,r2:1)1:0.19487377036):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,((r1:1,r0:1)1:0.902148330179,r2:1)1:0.952984655044)1:0.065660812062)1:0.0625415159806)1:0.749265479365):0); 0.0 0.0
2000 100000.0 48 5534.6645 213.384 686 (r0:1,(r1:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.200903939386)0.94:0.0341212935445)0.6:0.013163048995)1:0.200858119322,r2:1)1:0.217723483845):0); 0.0 0.0 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.858403781216)1:0.968166141527)1:0.0774709162278)1:0.0672408197344)1:0.701578425928,r6:1):0); 0.0 0.0
2000 100000.0 49 5532.5665 214.704 673 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,((r0:1,r1:1)1:0.226898719077,r2:1)1:0.18822349675)0.97:0.0406276661324)0.69:0.0170104271686)1:0.210295408836):0); 0.0 0.0 (r1:1,((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.72575710952)0.99:0.0470020336931)1:0.0614005766313)1:0.957124439357)1:0.91367047958,r0:1):0); 0.0 0.0
2000 100000.0 4 5539.2115 213.807 701 (r5:1,((r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.211035738317)1:0.20097267342)0.82:0.02385380074)0.74:0.0190139578679,(r6:1,r7:1)1:0.228781604212):0); 0.0 0.0 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.887474552582)1:0.953227697943)1:0.0715484294262)1:0.0737764621225)1:0.665351186447,r6:1):0); 0.0 0.0
2000 100000.0 50 5534.935 214.158 691 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.235210062727)1:0.210295408836)0.53:0.0113080737583)0.93:0.0321840593083)1:0.198706941066,r6:1):0); 0.0 0.0 (r5:1,((r6:1,r7:1)1:0.732907769555,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.859111495329)1:0.946927701336)1:0.079723473832)1:0.0634396748155):0); 0.0 0.0
2000 100000.0 51 5535.463 213.8565 697 (r5:1,((r6:1,r7:1)1:0.222394206955,(r4:1,((r2:1,(r0:1,r1:1)1:0.205680725982)1:0.234641180565,r3:1)0.8:0.0223195351816)0.99:0.0426899925155):0); 0.0 0.0 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.683003895503)1:0.0683438531879)1:0.0759420702085)1:0.963489209925)1:0.852408347987,r1:1):0); 0.0 0.0
2000 100000.0 52 5541.518 214.3315 726 (r6:1,(r7:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.183101471043)1:0.232392525851)0.8:0.0224898929333,r4:1)0.81:0.024184402171)1:0.200171070171):0); 0.0 0.0 (r2:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.646572648216)0.99:0.0439620705773)1:0.0662836155877)1:0.940427136733,(r1:1,r0:1)1:0.82398355733):0); 0.0 0.0
2000 100000.0 53 5533.125 213.802 660 (r1:1,(r0:1,(r2:1,(r3:1,(r4:1,((r7:1,r6:1)1:0.226334544167,r5:1)0.83:0.0242804037071)0.72:0.0184092955852)1:0.217257609157)1:0.214931485754):0); 0.0 0.0 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.908822437267)1:1.01075793874)1:0.0679760401666)1:0.0626412715795,(r6:1,r7:1)1:0.729792502238):0); 0.0 0.0
2000 100000.0 54 5539.408 214.2045 718 (r0:1,(r1:1,(r2:1,(r3:1,((r5:1,(r6:1,r7:1)1:0.224456256613)0.48:0.00790220480841,r4:1)0.66:0.0168833542922)1:0.222394206955)1:0.215117376636):0); 0.0 0.0 (r1:1,((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.690452164705)1:0.0537028865155)1:0.0804453652187)1:0.938748680518)1:0.869430035556,r0:1):0); 0.0 0.0
2000 100000.0 55 5537.868 213.7865 664 (r4:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.204760339354)1:0.233102081226)0.43:0.00702109203192,(r5:1,(r7:1,r6:1)1:0.212703486318)0.85:0.0257215338023):0); 0.0 0.0 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.927598805632)1:1.04987567059)1:0.0635284256476)1:0.0766050325507)1:0.704000467681,r6:1):0); 0.0 0.0
2000 100000.0 56 5544.3075 213.141 672 (r7:1,(r6:1,(r4:1,(r5:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.190692326216)1:0.218889120997)0.88:0.0283850785312)0.74:0.0193005045054)1:0.231234667052):0); 0.17556643393915275 0.11428571428571432 (r4:1,((r5:1,(r7:1,r6:1)1:0.730726063843)0.99:0.0478863373617,((r2:1,(r1:1,r0:1)1:0.837055638897)1:1.01488591158,r3:1)1:0.0902422505425):0); 0.0 0.0
2000 100000.0 57 5543.6505 213.7985 691 (r3:1,((r2:1,(r1:1,r0:1)1:0.193963272254)1:0.222745392209,((r4:1,(r7:1,r6:1)1:0.225019372536)0.42:0.00592079169613,r5:1)0.99:0.0461948343038):0); 0.17556643393915275 0.11428571428571432 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,((r0:1,r1:1)1:0.898459650231,r2:1)1:1.00000239332)1:0.0734290550644)1:0.0739782377487)1:0.684786427169):0); 0.0 0.0
2000 100000.0 58 5539.583 215.0355 691 (r3:1,((r2:1,(r1:1,r0:1)1:0.225582805737)1:0.201774919753,(r4:1,((r6:1,r7:1)1:0.230479237365,r5:1)0.58:0.0124459460601)0.73:0.0189184605657):0); 0.0 0.0 (r0:1,(r1:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.698860622654)0.99:0.0431790618263)1:0.0593656279087)1:0.979331125391,r2:1)1:0.9151669258):0); 0.0 0.0
