2000 100000.0 36 4489.318 140.3925 956 (r1:1,(r0:1,(r2:1,((r3:1,r4:1)0.5:0.0113923162081,(r5:1,(r6:1,r7:1)1:0.188155633426)0.9:0.0287707570087)1:0.231565347075)1:0.195420467412):0); 0.20410776171712283 0.12857142857142856 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.546175776243)1:0.0492634770639)1:0.0544282170672)1:0.526597778642)1:0.700973830988,r1:1):0); 0.0 0.0
2000 100000.0 37 4471.9175 139.969 955 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.232747240605)1:0.244763327126)0.55:0.0126568053123)0.65:0.0150109025796,(r6:1,r7:1)1:0.203105775138):0); 0.0 0.0 (r1:1,(r0:1,(r2:1,(r3:1,((r5:1,(r7:1,r6:1)1:0.583358701707)0.94:0.0334428345895,r4:1)0.85:0.0259031567642)1:0.606838824245)1:0.660695955462):0); 0.0 0.0
2000 100000.0 38 4469.096 140.349 925 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.219775914829)1:0.209601847371)0.92:0.0319045465187)0.66:0.0153914562898)1:0.205680725982,r7:1):0); 0.0 0.0 (r4:1,((r5:1,(r7:1,r6:1)1:0.582821500513)1:0.0601503621064,(r3:1,((r1:1,r0:1)1:0.721429436614,r2:1)1:0.601523766726)1:0.0560125849719):0); 0.0 0.0
2000 100000.0 39 4470.943 140.3255 953 (r7:1,((r5:1,((r4:1,r3:1)0.4:0.00350438406195,(r2:1,(r0:1,r1:1)1:0.19487377036)1:0.233062648272)0.98:0.0417125708757)1:0.221271242211,r6:1):0); 0.20410776171712283 0.12857142857142856 (r3:1,((r2:1,(r1:1,r0:1)1:0.755309715994)1:0.535842345596,((r5:1,(r6:1,r7:1)1:0.583896191642)1:0.0598518694919,r4:1)0.79:0.0231716143061):0); 0.0 0.0
2000 100000.0 3 4464.379 140.4765 964 (r5:1,((r6:1,r7:1)1:0.218655884845,(r4:1,((r2:1,(r0:1,r1:1)1:0.216605749004)1:0.230856880874,r3:1)0.55:0.0132474478642)0.4:0.0038492278668):0); 0.0 0.0 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.677675286092)1:0.579035711111)1:0.0536369734548)0.61:0.0140601514146)1:0.579069150894,r7:1):0); 0.0 0.0
2000 100000.0 40 4463.2705 140.195 947 (r3:1,((r5:1,(r7:1,r6:1)1:0.200537437641)0.44:0.00913076424093,((r2:1,(r1:1,r0:1)1:0.227651447753)1:0.232037936875,r4:1)0.61:0.0138384394808):0); 0.1790338045715902 0.12857142857142856 (r3:1,((r2:1,(r0:1,r1:1)1:0.706428389966)1:0.607182703203,((r5:1,(r6:1,r7:1)1:0.567895850296)0.82:0.0234167214884,r4:1)0.99:0.0468929146114):0); 0.0 0.0
2000 100000.0 41 4473.2585 141.176 970 (r3:1,((r2:1,(r0:1,r1:1)1:0.213631216229)1:0.197998523435,(r4:1,(r5:1,(r6:1,r7:1)1:0.229913039369)0.47:0.00922533136001)0.72:0.0184092955852):0); 0.0 0.0 (r2:1,((r0:1,r1:1)1:0.676494996784,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.60042997389)0.81:0.0286100395657)1:0.0583938534606)1:0.541623636791):0); 0.0 0.0
2000 100000.0 42 4482.588 140.2665 943 (r5:1,((r7:1,r6:1)1:0.209925449528,((r3:1,(r2:1,(r0:1,r1:1)1:0.22201974524)1:0.208100779021)0.77:0.0206175519608,r4:1)0.78:0.0211172091213):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.737598943131)1:0.581044079987)1:0.0545161716827)0.58:0.0119716752425)1:0.618075868755):0); 0.0 0.0
2000 100000.0 43 4476.693 140.428 993 (r6:1,(r7:1,(r5:1,((r2:1,(r0:1,r1:1)1:0.234072621846)1:0.201087240642,(r4:1,r3:1)0.52:0.0104660393535)0.99:0.0468056279182)1:0.20384079906):0); 0.20410776171712283 0.12857142857142856 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.666810401648)1:0.553776423481)0.57:0.0165445722105)0.98:0.04122421808)1:0.594163777117):0); 0.0 0.0
2000 100000.0 44 4480.1955 139.846 952 (r6:1,(r7:1,(r5:1,(r4:1,((r2:1,(r1:1,r0:1)1:0.224456256613)1:0.196286682789,r3:1)0.95:0.0341428394642)0.68:0.0207344706227)1:0.224456256613):0); 0.0 0.0 (r4:1,((r5:1,(r6:1,r7:1)1:0.613912087583)0.69:0.0204475128513,((r2:1,(r1:1,r0:1)1:0.649151815715)1:0.543074197122,r3:1)0.98:0.0409747076074):0); 0.0 0.0
2000 100000.0 45 4478.963 140.8735 982 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,((r7:1,r6:1)1:0.229158607044,r5:1)0.82:0.0250487479631)0.8:0.0245364528699)1:0.187658109727)1:0.223705928309):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.677084967303)1:0.551822025465)1:0.0715484294262)0.99:0.0432769043977)1:0.553972073529):0); 0.0 0.0
2000 100000.0 46 4478.798 140.6425 979 (r7:1,(r6:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.239010903487)1:0.202463072091)0.88:0.0279567212747)0.56:0.0113080737583,r5:1)1:0.206786309289):0); 0.0 0.0 (r5:1,((r7:1,r6:1)1:0.60042997389,(r4:1,((r2:1,(r0:1,r1:1)1:0.62729767506)1:0.547924651256,r3:1)0.76:0.0221492064467)1:0.0512341152028):0); 0.0 0.0
2000 100000.0 47 4479.525 141.0725 946 (r1:1,(r0:1,((r4:1,(r3:1,(r5:1,(r6:1,r7:1)1:0.196697257371)0.94:0.0334428345895)0.49:0.0170527883827)1:0.233693762209,r2:1)1:0.172534523967):0); 0.1790338045715902 0.12857142857142856 (r5:1,((r6:1,r7:1)1:0.599883525789,((r3:1,(r2:1,(r0:1,r1:1)1:0.691349696553)1:0.594197726634)0.74:0.0193429628431,r4:1)0.99:0.0434726182647):0); 0.0 0.0
2000 100000.0 48 4481.0935 140.0475 967 (r7:1,(r6:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.21233263521)1:0.218306132582)0.91:0.0301218042757,(r4:1,r5:1)0.54:0.0112133094843)1:0.210526702928):0); 0.19443359141936595 0.11428571428571432 (r0:1,(r1:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.595794655434)1:0.0592551514235)0.98:0.0396739226171)1:0.542751668495,r2:1)1:0.719580437628):0); 0.0 0.0
2000 100000.0 49 4479.244 140.2735 976 (r0:1,(r1:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.226522567107)0.65:0.015106027431)0.77:0.0208726648496)1:0.229205742393,r2:1)1:0.216047349734):0); 0.0 0.0 (r1:1,((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.582284587748)0.95:0.0348972392672)0.92:0.0312168477037)1:0.556715201106)1:0.701880860529,r0:1):0); 0.0 0.0
2000 100000.0 4 4474.9995 140.224 966 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.244739389651)1:0.21655920382)0.61:0.0136695490903)0.85:0.0252409263052)1:0.205864905004,r7:1):0); 0.0 0.0 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.659825507126)1:0.603235216741)0.86:0.0260741261611)0.98:0.039663089848,(r6:1,r7:1)1:0.643429339441):0); 0.0 0.0
2000 100000.0 50 4465.53 140.7785 981 (r5:1,(r4:1,((r6:1,r7:1)1:0.215396277768,((r2:1,(r1:1,r0:1)1:0.186347641612)1:0.229795121794,r3:1)0.87:0.0272289347837)0.4:0.00375516776232):0); 0.19443359141936595 0.11428571428571432 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.648291353881)1:0.561632437698)0.99:0.0430594894604)0.9:0.0291887432855,(r7:1,r6:1)1:0.561041091054):0); 0.0 0.0
2000 100000.0 51 4467.7795 140.4035 996 (r5:1,((r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.195238201851)1:0.207408737471)0.8:0.0224898929333)0.63:0.0141551858647,(r6:1,r7:1)1:0.234641180565):0); 0.0 0.0 (r5:1,((r7:1,r6:1)1:0.554232999819,((r3:1,(r2:1,(r0:1,r1:1)1:0.625894953551)1:0.543235500453)0.99:0.0482031301108,r4:1)0.91:0.0356737875493):0); 0.0 0.0
2000 100000.0 52 4477.163 140.772 969 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.229913039369)1:0.219589156028)0.44:0.00786022944794)0.86:0.0258176830259)1:0.216605749004,r6:1):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,(r4:1,((r2:1,(r1:1,r0:1)1:0.714053865379)1:0.55769671599,r3:1)0.94:0.0330230667472)0.99:0.043668370443)1:0.596066727263):0); 0.0 0.0
2000 100000.0 53 4478.1875 141.039 965 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.207339559649)1:0.197655920794)0.99:0.047067510858)0.71:0.0177732037121,(r6:1,r7:1)1:0.216047349734):0); 0.0 0.0 (r2:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.617797743318)0.95:0.0348002131186)0.93:0.0314746793411)1:0.5857460198,(r1:1,r0:1)1:0.710691490211):0); 0.0 0.0
2000 100000.0 54 4471.355 140.411 943 (r7:1,(r6:1,(r5:1,((r2:1,(r0:1,r1:1)1:0.212888963458)1:0.217179984472,(r4:1,r3:1)0.55:0.012741161464)0.86:0.0266513637745)1:0.185986435179):0); 0.20410776171712283 0.12857142857142856 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.650874963758)1:0.567234693247)1:0.0589237951794)0.82:0.023128993102)1:0.613912087583,r7:1):0); 0.0 0.0
2000 100000.0 55 4471.588 140.6225 944 (r4:1,((r5:1,(r6:1,r7:1)1:0.210665505066)1:0.0512341152028,(r3:1,(r2:1,(r1:1,r0:1)1:0.208262324318)1:0.217141174389)0.38:0.0028359348392):0); 0.0 0.0 (r3:1,((r4:1,(r5:1,(r6:1,r7:1)1:0.621140364815)0.99:0.0462166419386)1:0.0538127512721,(r2:1,(r0:1,r1:1)1:0.720812723674)1:0.566573973038):0); 0.0 0.0
2000 100000.0 56 4472.647 140.427 980 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.214002549319)1:0.227557325677)0.75:0.0224898929333,(r5:1,(r7:1,r6:1)1:0.202187754327)0.83:0.0243764144603):0); 0.0 0.0 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.690153166347)1:0.530253508693)1:0.0612234600881)0.48:0.0148206800186)1:0.608662731697,r6:1):0); 0.0 0.0
2000 100000.0 57 4473.294 140.2995 964 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.212888963458)1:0.214583033459)0.78:0.021042776273)0.51:0.0100768381052)1:0.200354237128):0); 0.0 0.0 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.782478269308)1:0.546467043094)0.94:0.0337120092478)1:0.0540984561409,(r6:1,r7:1)1:0.558155086164):0); 0.0 0.0
2000 100000.0 58 4486.4035 140.7655 965 (r5:1,(r4:1,((r7:1,r6:1)1:0.209601847371,(r3:1,(r2:1,(r1:1,r0:1)1:0.207155108851)1:0.242372411462)0.85:0.025561305637)0.49:0.0105502108952):0); 0.19443359141936595 0.11428571428571432 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.675905374125)1:0.56327690444,r3:1)0.99:0.0443646886886)1:0.0548900651274)1:0.562618793195):0); 0.0 0.0
2000 100000.0 59 4476.867 140.665 1001 (r2:1,((r0:1,r1:1)1:0.197975679607,((r4:1,(r5:1,(r6:1,r7:1)1:0.217164460258)0.48:0.0137751022417)0.99:0.044713029718,r3:1)1:0.213538404498):0); 0.0 0.0 (r5:1,((r6:1,r7:1)1:0.568425090848,((r3:1,(r2:1,(r0:1,r1:1)1:0.60097672076)1:0.602550285208)0.9:0.0359543560261,r4:1)0.99:0.0473949610066):0); 0.0 0.0
2000 100000.0 5 4477.8885 140.2365 961 (r3:1,((r4:1,(r5:1,(r6:1,r7:1)1:0.208446979475)0.61:0.0136801039041)0.91:0.0294138852063,(r2:1,(r1:1,r0:1)1:0.251657172811)1:0.240225464073):0); 0.0 0.0 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.645142646542)1:0.60597964385)0.99:0.0434073760529)0.71:0.0202562534073)1:0.590368706148,r6:1):0); 0.0 0.0
2000 100000.0 60 4467.564 140.021 982 (r3:1,((r4:1,(r5:1,(r7:1,r6:1)1:0.212703486318)0.85:0.026394772587)0.93:0.0322485733562,(r2:1,(r0:1,r1:1)1:0.225770687372)1:0.216093871099):0); 0.0 0.0 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.678561418184)1:0.541623636791,r3:1)0.94:0.0354364449225)0.89:0.0279353082277)1:0.611974906958):0); 0.0 0.0
2000 100000.0 61 4470.2925 140.7285 985 (r6:1,(r7:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.228404743458)1:0.209832981082)0.77:0.020957716944)0.99:0.0421034248967,r5:1)1:0.221645423693):0); 0.0 0.0 (r5:1,((r7:1,r6:1)1:0.598245970838,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.70916686726)1:0.534882038224)1:0.0499527587612)0.96:0.0361594366288):0); 0.0 0.0
