1000 10000.0 2 13.395064106432454 10.11 937 (r2:1,((r1:1,r0:1)1:0.131336002061,(r3:1,(r4:1,((r7:1,r6:1)1:0.144754403978,r5:1)0.57:0.0161765919329)0.67:0.0240975515791)1:0.122531742991):0); 0.0 0.0 (r4:1,((r5:1,(r6:1,r7:1)1:0.115139534431)0.48:0.0147822833053,((r2:1,(r0:1,r1:1)1:0.165985137474)1:0.146448786308,r3:1)0.9:0.0425596144188):0); 0.0 0.0
1000 10000.0 30 13.277682608484435 10.167 937 (r7:1,(r6:1,(r5:1,((r4:1,r3:1)0.56:0.0193332070216,((r0:1,r1:1)1:0.157302494728,r2:1)1:0.142563064655)0.77:0.0293989748548)1:0.153801090591):0); 0.20410776171712283 0.12857142857142856 (r7:1,(r6:1,((r2:1,(r1:1,r0:1)1:0.164641270624)1:0.156865023693,((r4:1,r3:1)0.61:0.0204658305923,r5:1)0.41:0.0072527837617)1:0.145108588471):0); 0.362141354931442 0.30000000000000004
1000 10000.0 31 13.190656121860089 10.217 934 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r1:1,r0:1)1:0.118770036068)1:0.129543351447,r3:1)0.64:0.0225636782489)0.66:0.0222869794763)1:0.169299815765):0); 0.0 0.0 (r0:1,(r1:1,((r5:1,(r4:1,(r3:1,(r6:1,r7:1)1:0.205919511094)0.46:0.00910770756484)0.57:0.0166728419345)1:0.163471073026,r2:1)1:0.129655979266):0); 0.35460023851074296 0.3285714285714286
1000 10000.0 32 13.237526255534064 10.182 932 (r4:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.128605624938)1:0.155681571324)0.39:0.00425479305376,(r7:1,r6:1)1:0.140261567667)0.54:0.017128882263):0); 0.19443359141936595 0.11428571428571432 (r4:1,((r7:1,r6:1)1:0.124647918047,((r3:1,(r2:1,(r0:1,r1:1)1:0.179306315328)1:0.141651915618)0.44:0.00855761475495,r5:1)0.6:0.0188187223783):0); 0.17556643393915275 0.11428571428571432
1000 10000.0 33 13.239819873906162 10.191 916 (r1:1,(r0:1,(r2:1,(r3:1,((r5:1,(r6:1,r7:1)1:0.153102278543)0.62:0.0203734695163,r4:1)0.46:0.0140847398817)1:0.146748076896)1:0.168590092527):0); 0.0 0.0 (r0:1,(r1:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.132620391489)0.46:0.00892343457596)0.76:0.0289791191168)1:0.153290300251,r2:1)1:0.173540874405):0); 0.0 0.0
1000 10000.0 34 13.174730181756924 10.056 934 (r3:1,((r2:1,(r1:1,r0:1)1:0.145794085236)1:0.147399047951,(r5:1,((r7:1,r6:1)1:0.143715802535,r4:1)0.54:0.0144647512867)0.53:0.0162823571976):0); 0.17556643393915275 0.11428571428571432 (r2:1,((r3:1,((r6:1,r7:1)1:0.133899080241,(r4:1,r5:1)0.43:0.00719637453641)0.53:0.0138717599365)1:0.17635549963,(r1:1,r0:1)1:0.181223259045):0); 0.19443359141936595 0.11428571428571432
1000 10000.0 35 13.016908243976552 10.404 943 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.12045894037)1:0.130610018214)0.71:0.0254629725115)0.73:0.0295918946972)1:0.139227619617):0); 0.0 0.0 (r3:1,((r2:1,(r0:1,r1:1)1:0.115405394471)1:0.165277135013,((r5:1,(r6:1,r7:1)1:0.139787684057)0.71:0.026029579931,r4:1)0.41:0.00524815808124):0); 0.0 0.0
1000 10000.0 36 13.139718250474827 10.333 924 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.156601232428)1:0.123802929603)0.47:0.0102084394184)0.6:0.0209471381428)1:0.139227619617,r7:1):0); 0.0 0.0 (r5:1,((r6:1,r7:1)1:0.149194736614,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.154252934544)1:0.142145277395)0.55:0.0166176954563)0.61:0.021080722274):0); 0.0 0.0
1000 10000.0 37 13.141805435544818 10.23 935 (r6:1,(r7:1,(r5:1,(r3:1,(r4:1,(r2:1,(r1:1,r0:1)1:0.104694736672)1:0.126987983787)0.45:0.00903167203035)0.7:0.0243960781395)1:0.168590092527):0); 0.1790338045715902 0.12857142857142856 (r0:1,(r1:1,(r2:1,(r5:1,((r3:1,(r7:1,r6:1)1:0.155841990483)0.5:0.0129432889725,r4:1)0.49:0.0124525995159)1:0.163548000852)1:0.161705590697):0); 0.35460023851074296 0.3285714285714286
1000 10000.0 38 13.16632595821709 10.137 914 (r5:1,(((r3:1,r4:1)0.66:0.0215211360539,(r6:1,r7:1)1:0.132960697788)0.37:0.00237544651301,((r0:1,r1:1)1:0.153451623525,r2:1)1:0.144581228811):0); 0.3340250044126062 0.30000000000000004 (r4:1,((r5:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.176456437342)1:0.162669577284)0.56:0.0169832238873)0.37:0.00224495780761,(r7:1,r6:1)1:0.165174780294):0); 0.17556643393915275 0.11428571428571432
