1 10000000.0 1 13.123183716689217 4604.0 1  0 0 (((r5:0.00349,r4:0.00347):0.000458,(r3:0.003657,(r7:0.004381,r6:0.003918):0.000697):0.000276):0.000448,(r0:0.002826,r1:0.002793):0.0008,r2:0.003181); 2.7798538696909363 0.2857142857142857
1 10000000.0 20 13.167311699910687 4530.0 1  0 0 (((r0:0.002682,r1:0.002735):0.000912,r2:0.003135):0.000515,(r4:0.003481,r3:0.003347):0.000493,(r5:0.003598,(r7:0.004441,r6:0.003677):0.000651):0.000294); 1.8112781244591325 0.12857142857142856
1 10000000.0 21 13.087505208643371 4543.0 1  0 0 ((r1:0.002733,r0:0.002769):0.000713,(((r6:0.003723,r7:0.004192):0.0007,(r3:0.003401,r4:0.003448):0.000447):0.000377,r5:0.003429):0.000591,r2:0.00322); 2.9794003704524332 0.30000000000000004
1 10000000.0 22 13.359360076408787 4538.0 1  0 0 (((r5:0.003821,(r7:0.004695,r6:0.003667):0.000611):0.000321,(r2:0.00344,(r1:0.002866,r0:0.002962):0.000791):0.000408):0.000491,r4:0.003515,r3:0.003388); 1.8112781244591325 0.12857142857142856
1 10000000.0 23 12.989822030941026 4450.0 1  0 0 (((r0:0.00271,r1:0.002804):0.000885,r2:0.003269):0.000605,((r4:0.003571,r3:0.003465):0.000599,r5:0.003771):0.000219,(r6:0.003773,r7:0.004495):0.000657); 3.2136882430683356 0.30000000000000004
1 10000000.0 24 13.167100283822139 4439.0 1  0 0 (r0:0.002757,r1:0.002801,((((r7:0.004422,r6:0.003889):0.000652,(r5:0.003578,r4:0.00342):0.000426):0.000418,r3:0.003563):0.000474,r2:0.003266):0.000911); 1.7342878726159023 0.11428571428571432
1 10000000.0 25 13.066882543420665 4452.0 1  0 0 (r4:0.003633,r3:0.003395,(((r0:0.002639,r1:0.002649):0.000817,r2:0.003147):0.000533,((r7:0.004421,r6:0.003884):0.000626,r5:0.003704):0.00032):0.000558); 1.8112781244591325 0.12857142857142856
1 10000000.0 26 13.04408380053113 4504.0 1  0 0 ((((r5:0.003478,r3:0.0035):0.0005,(r4:0.003627,(r6:0.003741,r7:0.004411):0.000687):0.000255):0.000489,r2:0.0033):0.000851,r0:0.002793,r1:0.002594); 2.591131994150069 0.24285714285714288
1 10000000.0 27 13.193571386132732 4420.0 1  0 0 (((r3:0.003439,r5:0.003435):0.000529,((r6:0.003805,r7:0.004357):0.00065,r4:0.003671):0.000287):0.000585,(r0:0.002702,r1:0.002625):0.0008,r2:0.003106); 2.591131994150069 0.24285714285714288
1 10000000.0 28 13.080937353903693 4539.0 1  0 0 (((r4:0.003333,r5:0.003476):0.00052,(r3:0.003636,(r2:0.003296,(r0:0.002816,r1:0.002715):0.000822):0.000415):0.000367):0.000703,r7:0.004621,r6:0.003766); 1.7342878726159023 0.11428571428571432
