1000 10000.0 20 12.515737521663064 3.385 980 (r4:1,(r3:1,((r7:1,r6:1)0.45:0.00821295485139,(r0:1,((r1:1,r2:1)0.47:0.00983844900029,r5:1)0.48:0.0116181794812)0.51:0.0133251500237)0.56:0.0154154120674):0); 0.5758828475021778 0.48571428571428577 (r4:1,(r3:1,((r6:1,r5:1)0.42:0.00718099793986,((r0:1,(r1:1,r2:1)0.47:0.0131424923014)0.47:0.0101145392499,r7:1)0.52:0.013719591588)0.52:0.0144061730783):0); 0.5142290710996905 0.44285714285714284
1000 10000.0 21 12.12552939853672 3.388 984 (r4:1,(((r3:1,r1:1)0.52:0.0130720815674,(r5:1,(r7:1,r2:1)0.59:0.0177388243374)0.42:0.00638899761752)0.46:0.00915768803455,(r6:1,r0:1)0.53:0.0143887374521):0); 0.8490684979623659 0.7857142857142857 (r7:1,(r4:1,(r1:1,((r3:1,(r5:1,r2:1)0.46:0.0103293365139)0.43:0.00686858772776,(r0:1,r6:1)0.76:0.0298529631497)0.45:0.00853111012512)0.39:0.00448000749297):0); 0.8518818866548178 0.8
1000 10000.0 22 12.489237054840846 3.434 986 (r7:1,(r2:1,(r6:1,(r0:1,((r3:1,(r4:1,r5:1)0.52:0.0134770218442)0.53:0.0138947883188,r1:1)0.5:0.0120604476925)0.43:0.00670323574976)0.44:0.00742006813601):0); 0.7137464273429308 0.6571428571428571 (r5:1,(r4:1,(r3:1,((r0:1,r1:1)0.41:0.0061788527413,(r6:1,(r7:1,r2:1)0.57:0.017012125897)0.42:0.00860811988925)0.63:0.0206276272429)0.54:0.0159623751605):0); 0.5598946183839538 0.5285714285714286
1000 10000.0 23 12.583865909580616 3.325 978 (r0:1,((r3:1,(r2:1,r4:1)0.41:0.00832627571954)0.42:0.00689182603792,(r6:1,(r7:1,(r5:1,r1:1)0.48:0.0149970099769)0.62:0.0203734695163)0.55:0.0176371414861):0); 0.7924952050939169 0.6857142857142857 (r0:1,(r1:1,((r7:1,r5:1)0.72:0.0269297407138,((r3:1,r4:1)0.48:0.0123541251668,(r2:1,r6:1)0.5:0.0119267163167)0.41:0.00600722671543)0.6:0.0206317590113):0); 0.6453292075980303 0.6
1000 10000.0 24 12.622838949744786 3.507 969 (r7:1,((r4:1,r5:1)0.78:0.0309433767062,(r3:1,((r2:1,r0:1)0.48:0.0123764733564,(r1:1,r6:1)0.67:0.0224785320102)0.35:0.000499625291433)0.5:0.0129455713515):0); 0.6640374274248819 0.5428571428571429 (r0:1,((r6:1,r1:1)0.8:0.0327687526699,((r3:1,r2:1)0.46:0.0100680882257,(r7:1,(r4:1,r5:1)0.42:0.00681433641973)0.57:0.0165864816296)0.4:0.00450630318566):0); 0.6623123596823691 0.5857142857142856
1000 10000.0 25 12.418254007694195 3.387 974 (r6:1,(r3:1,((r5:1,r4:1)0.54:0.0148449071551,(r1:1,((r7:1,r2:1)0.64:0.0207941276613,r0:1)0.52:0.0131353426776)0.37:0.00300150300376)0.48:0.0112392480633):0); 0.7624089506795371 0.6714285714285715 (r7:1,((r6:1,r0:1)0.46:0.00966813847305,(r1:1,((r3:1,r5:1)0.55:0.0151284764967,(r2:1,r4:1)0.35:0.000666444543161)0.45:0.0124501385859)0.47:0.0105673398868):0); 0.733833133921502 0.7142857142857143
1000 10000.0 26 12.525453145878028 3.418 978 (r2:1,(r1:1,(r0:1,((r5:1,(r7:1,r6:1)0.53:0.0137808346978)0.37:0.00312676134926,(r3:1,r4:1)0.55:0.0150984247126)0.36:0.001624695727)0.73:0.0266250479721):0); 0.28917387957841195 0.19999999999999996 (r0:1,(r6:1,((r3:1,(r1:1,r2:1)0.45:0.00992802389993)0.52:0.0135886789436,((r5:1,r7:1)0.57:0.0169903109332,r4:1)0.38:0.00314347324575)0.57:0.0166387235988):0); 0.603155398194306 0.5
1000 10000.0 27 12.559165021541066 3.423 979 (r3:1,(r2:1,(r0:1,(r5:1,(r4:1,((r7:1,r1:1)0.56:0.0162146661396,r6:1)0.45:0.00953583135537)0.47:0.0102084394184)0.44:0.00745781039413)0.59:0.0174338067965):0); 0.7036908698596324 0.6285714285714286 (r7:1,(r1:1,((r2:1,r5:1)0.4:0.00513557002925,((r3:1,(r0:1,r4:1)0.37:0.00236127618568)0.55:0.0158498952736,r6:1)0.4:0.00481670719855)0.76:0.0296705291143):0); 0.8561615637543033 0.8
1000 10000.0 28 12.46265800790421 3.462 984 (r7:1,(r5:1,(r3:1,((r6:1,(r1:1,r0:1)0.66:0.0220188675572)0.63:0.0205646558279,(r2:1,r4:1)0.55:0.0176371414861)0.44:0.00802411527005)0.42:0.0059115446941):0); 0.5949716617142429 0.5714285714285714 (r6:1,(r7:1,(((r4:1,r3:1)0.7:0.0253178079843,(r2:1,(r0:1,r1:1)0.67:0.0259810184323)0.44:0.00755420728427)0.38:0.00313680700777,r5:1)0.44:0.00833605340206):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 29 13.029805982309634 3.389 977 (r7:1,((r0:1,r1:1)0.45:0.00893087065936,(((r4:1,r3:1)0.4:0.00519579246449,(r2:1,r5:1)0.41:0.005949230059)0.56:0.0157324999351,r6:1)0.38:0.0035026305512):0); 0.6668364440009129 0.6428571428571428 (r7:1,((r3:1,(r4:1,(r2:1,r5:1)0.46:0.00931434387745)0.4:0.00505185865692)0.6:0.0204501241549,((r0:1,r1:1)0.7:0.0257083567102,r6:1)0.36:0.00159109023224):0); 0.7029783028081217 0.6714285714285715
1000 10000.0 2 12.794500886529528 3.369 977 (r1:1,(r5:1,(r6:1,((r3:1,r0:1)0.73:0.0275146059888,((r2:1,r4:1)0.48:0.0119593405694,r7:1)0.57:0.017128882263)0.36:0.00174978172379)0.66:0.0250872958622):0); 0.8093488277241733 0.7428571428571429 (r5:1,(((r3:1,r0:1)0.69:0.0246661298902,(r4:1,(r1:1,r6:1)0.48:0.0117059972447)0.49:0.0119666366175)0.4:0.00568295985296,(r2:1,r7:1)0.52:0.014878519047):0); 0.8490684979623659 0.7857142857142857
1000 10000.0 30 13.145156231977516 3.319 981 (r1:1,(r2:1,((r0:1,(r3:1,r6:1)0.54:0.0143887374521)0.56:0.0153520065575,((r7:1,r4:1)0.44:0.00772204609391,r5:1)0.42:0.00613767818921)0.93:0.0458225439414):0); 0.726111948078336 0.6142857142857143 (r5:1,(((r4:1,r7:1)0.4:0.00507166269619,(r0:1,(r3:1,r6:1)0.55:0.0158903923352)0.44:0.00775695917574)0.39:0.00400160598001,(r2:1,r1:1)0.84:0.0380623373239):0); 0.7501918662361101 0.7
1000 10000.0 31 12.583626787604379 3.392 980 (r1:1,(r5:1,(r6:1,((r2:1,r4:1)0.64:0.0223933930208,((r7:1,r3:1)0.47:0.0110498361866,r0:1)0.55:0.0167478573012)0.46:0.011302393329)0.51:0.0180439349423):0); 0.8518818866548178 0.7857142857142857 (r4:1,((r3:1,(r7:1,(r0:1,r2:1)0.69:0.0262915741428)0.42:0.0060471327578)0.45:0.00848361397781,(r1:1,(r6:1,r5:1)0.55:0.022246906805)0.5:0.0125787822069):0); 0.7453382338958477 0.6714285714285715
1000 10000.0 32 12.613130975243628 3.488 981 (r2:1,(r3:1,(r6:1,(r1:1,((r0:1,r7:1)0.48:0.0112392480633,(r5:1,r4:1)0.44:0.00783531134237)0.38:0.00412939334201)0.56:0.0154154120674)0.41:0.00681638565465):0); 0.8036288404181222 0.7285714285714286 (r4:1,(r5:1,(r3:1,(r7:1,((r1:1,r0:1)0.49:0.011543080628,(r6:1,r2:1)0.62:0.0209010824058)0.46:0.0100690597654)0.38:0.00344690782746)0.62:0.0220636560726):0); 0.5758828475021778 0.5285714285714286
