1000 1000.0 33 8.379966666666666 1.535 776 (r1:1,((r0:1,((r5:1,r4:1)1:0.215198796025,(r6:1,r7:1)0.92:0.0449513878623)0.92:0.0452126550094)0.5:0.0114286958236,(r2:1,r3:1)1:0.216919206558):0); 0.20088165898146854 0.11428571428571432 (r7:1,(r6:1,((r4:1,r5:1)1:0.204452888338,(r0:1,(r1:1,(r2:1,r3:1)1:0.253076543274)0.69:0.0308415939766)0.79:0.0412998960906)0.69:0.0342299417463):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 34 8.051395238095237 1.552 787 (r6:1,(r7:1,((r5:1,r4:1)1:0.24514327077,(r1:1,((r3:1,r2:1)1:0.25370060389,r0:1)0.51:0.0121868459737)0.69:0.0295275839476)0.99:0.067940906087):0); 0.20088165898146854 0.11428571428571432 (r0:1,((r2:1,r3:1)1:0.240923635167,(r1:1,((r5:1,r4:1)1:0.27397770642,(r7:1,r6:1)0.96:0.0684137681899)0.52:0.0201486210271)0.74:0.0358695121556):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 35 8.43850238095238 1.534 779 (r3:1,(r2:1,(((r7:1,r6:1)0.76:0.0288204385355,(r4:1,r5:1)1:0.226646181865)0.67:0.0222869794763,(r1:1,r0:1)0.74:0.0284349335192)1:0.243230309881):0); 0.0 0.0 (r7:1,(r6:1,((r4:1,r5:1)1:0.244798322746,((r0:1,(r3:1,r2:1)1:0.27248228647)0.49:0.016185324421,r1:1)0.48:0.0135354950795)0.61:0.025217434931):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 36 8.470297619047619 1.53 779 (r6:1,((r5:1,r4:1)1:0.246005298504,(r7:1,((r2:1,r3:1)1:0.264476884088,(r0:1,r1:1)0.97:0.053807098595)0.83:0.0352028216746)0.42:0.0085907410289):0); 0.20088165898146854 0.11428571428571432 (r4:1,(r5:1,((r6:1,((r2:1,r3:1)1:0.289339760357,(r1:1,r0:1)0.97:0.070487480498)0.65:0.0275659409979)0.49:0.0139923577151,r7:1)1:0.241614893849):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 37 8.400611904761904 1.531 769 (r2:1,(r3:1,((r0:1,r1:1)0.73:0.0265096345032,((r4:1,r5:1)1:0.272316218699,(r6:1,r7:1)0.99:0.0615460002011)0.97:0.0535106412579)1:0.244664687368):0); 0.0 0.0 (r1:1,(r0:1,((r2:1,r3:1)1:0.270612249241,((r4:1,r5:1)1:0.283837859321,(r6:1,r7:1)0.99:0.0866764115175)0.69:0.0321192309335)0.56:0.0205657210351):0); 0.0 0.0
1000 1000.0 38 8.410238095238096 1.513 751 (r3:1,(r2:1,((r0:1,r1:1)0.71:0.0293989748548,((r4:1,r5:1)1:0.243947241445,(r6:1,r7:1)0.43:0.00689182603792)0.98:0.0588603667174)1:0.215895903059):0); 0.0 0.0 (r7:1,(r6:1,((r4:1,r5:1)1:0.264052281022,((r3:1,r2:1)1:0.263242213719,(r1:1,r0:1)0.66:0.0295720473624)0.9:0.0537150179641)0.43:0.00969170581638):0); 0.0 0.0
1000 1000.0 39 8.602521428571428 1.535 774 (r5:1,(r4:1,((r7:1,((r0:1,r1:1)0.79:0.0311365947533,(r2:1,r3:1)1:0.24514327077)0.93:0.0456046837632)0.54:0.0224785320102,r6:1)1:0.234193387501):0); 0.20088165898146854 0.11428571428571432 (r2:1,(((r1:1,r0:1)0.51:0.0169742980313,((r5:1,r4:1)1:0.309688885239,(r7:1,r6:1)0.69:0.0424844603529)0.87:0.050885117233)1:0.276868864155,r3:1):0); 0.0 0.0
1000 1000.0 3 8.4015 1.53 768 (r6:1,(((r4:1,r5:1)1:0.257182905725,((r0:1,r1:1)0.72:0.0257405515966,(r2:1,r3:1)1:0.27133293445)0.94:0.0468144074726)0.64:0.0205646558279,r7:1):0); 0.0 0.0 (r6:1,(r7:1,((r5:1,r4:1)1:0.272225814215,((r1:1,r0:1)0.5:0.0179994271766,(r2:1,r3:1)1:0.288712044734)0.91:0.0554241840535)0.55:0.0208858909798):0); 0.0 0.0
1000 1000.0 40 8.168852380952382 1.587 762 (r6:1,(((r5:1,r4:1)1:0.234903867104,((r1:1,r0:1)0.87:0.0396753619449,(r3:1,r2:1)1:0.274039296048)0.96:0.0517337404943)0.59:0.0194180858571,r7:1):0); 0.0 0.0 (r0:1,(r1:1,((r3:1,r2:1)1:0.2783332976,(r7:1,(r6:1,(r5:1,r4:1)1:0.225566377179)0.43:0.0143051646206)0.88:0.0506880014185)0.52:0.0227357768061):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 41 8.66969761904762 1.482 777 (r0:1,(r1:1,((r3:1,r2:1)1:0.206180351273,((r5:1,r4:1)1:0.233010375414,(r7:1,r6:1)0.93:0.0443637862392)0.8:0.0327804572325)0.89:0.0396753619449):0); 0.0 0.0 (r1:1,(((r2:1,r3:1)1:0.235996698075,((r6:1,r7:1)0.86:0.047777163914,(r5:1,r4:1)1:0.287478136487)0.59:0.0228245969742)0.91:0.0571708422986,r0:1):0); 0.0 0.0
