1000 1000.0 33 11.719452153785776 3.841 956 (r7:1,(((r5:1,r4:1)1:0.237750844116,((r0:1,r1:1)0.43:0.00689182603792,(r2:1,r3:1)1:0.245861575602)0.97:0.0546969982928)0.78:0.0297848517648,r6:1):0); 0.0 0.0 (r0:1,(r1:1,((r2:1,r3:1)1:0.23998972374,((r5:1,r4:1)1:0.244138302851,(r7:1,r6:1)0.95:0.0493994599219)0.98:0.0589064826695)0.53:0.0140142433748):0); 0.0 0.0
1000 1000.0 34 11.973822620694976 3.792 938 (r2:1,(r3:1,(((r6:1,r7:1)0.95:0.0484842669048,(r4:1,r5:1)1:0.239415331482)0.97:0.0529179901146,(r1:1,r0:1)0.84:0.0346209188359)1:0.263013826036):0); 0.0 0.0 (r7:1,(r6:1,((r5:1,r4:1)1:0.254339214147,((r1:1,r0:1)0.6:0.0187495067183,(r2:1,r3:1)1:0.262146552618)0.99:0.0618291695927)0.94:0.0492272421948):0); 0.0 0.0
1000 1000.0 35 12.080046564310301 3.809 949 (r7:1,(((r0:1,r1:1)0.85:0.0357850633213,(r2:1,r3:1)1:0.251626664834)0.92:0.0445596150855,((r4:1,r5:1)1:0.240272433577,r6:1)0.4:0.00444292211084):0); 0.20088165898146854 0.11428571428571432 (r0:1,(r1:1,((r3:1,r2:1)1:0.235092635889,((r7:1,r6:1)0.35:0.00118460033596,(r5:1,r4:1)1:0.229408176784)0.95:0.0498510936925)0.86:0.0379631127939):0); 0.0 0.0
1000 1000.0 36 12.221543539720512 3.805 946 (r1:1,(r0:1,((r3:1,r2:1)1:0.244903950439,((r5:1,r4:1)1:0.222893832247,(r7:1,r6:1)0.87:0.0379228544377)0.93:0.0449513878623)0.65:0.0220954636278):0); 0.0 0.0 (r0:1,(r1:1,(((r7:1,r6:1)0.64:0.0212073761568,(r4:1,r5:1)1:0.241450469826)0.81:0.0335572622594,(r2:1,r3:1)1:0.239754899162)0.81:0.0334208319603):0); 0.0 0.0
1000 1000.0 37 11.916975811132005 3.913 951 (r0:1,(r1:1,((r2:1,r3:1)1:0.205030000289,((r6:1,r7:1)0.77:0.0293989748548,(r4:1,r5:1)1:0.23348341232)0.91:0.0428962909898)0.85:0.0367562200452):0); 0.0 0.0 (r4:1,(r5:1,((r7:1,r6:1)0.75:0.0286556350633,((r0:1,r1:1)0.88:0.0403798173638,(r2:1,r3:1)1:0.220418082932)0.96:0.0510720615668)1:0.228485663875):0); 0.0 0.0
1000 1000.0 38 12.018857179030979 3.84 948 (r0:1,(((r4:1,r5:1)1:0.232064972366,(r6:1,r7:1)0.58:0.0167478573012)0.79:0.0312010090662,((r2:1,r3:1)1:0.281110307289,r1:1)0.49:0.0137048728306):0); 0.20088165898146854 0.11428571428571432 (r0:1,(((r2:1,r3:1)1:0.263199468358,(r6:1,(r7:1,(r4:1,r5:1)1:0.233100522648)0.43:0.00726027874)0.83:0.0350321816411)0.65:0.021743578762,r1:1):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 39 12.023870940944162 3.884 949 (r6:1,(((r5:1,r4:1)1:0.239653341718,((r0:1,r1:1)0.44:0.00726911334668,(r3:1,r2:1)1:0.251867599662)0.99:0.0607495047389)0.65:0.0215211360539,r7:1):0); 0.0 0.0 (r0:1,(r1:1,((r2:1,r3:1)1:0.250781379228,((r4:1,r5:1)1:0.221449569477,(r7:1,r6:1)0.51:0.0128402055335)0.98:0.0587721094174)0.66:0.022520490778):0); 0.0 0.0
1000 1000.0 3 11.990353735993333 3.839 954 (r2:1,(r3:1,((r0:1,r1:1)0.59:0.0201823197499,((r7:1,r6:1)0.89:0.0406503059629,(r5:1,r4:1)1:0.226176367433)0.99:0.0607495047389)1:0.230884474059):0); 0.0 0.0 (r2:1,(r3:1,((r1:1,r0:1)0.69:0.0259564196845,((r6:1,r7:1)0.87:0.0397590456024,(r5:1,r4:1)1:0.220922699075)0.97:0.0544850194798)1:0.234649555532):0); 0.0 0.0
1000 1000.0 40 11.837717840058046 4.022 952 (r1:1,(r0:1,(((r4:1,r5:1)1:0.22172410466,(r7:1,r6:1)0.96:0.0518323744145)0.96:0.0500584506223,(r2:1,r3:1)1:0.256214382647)0.89:0.0410405498703):0); 0.0 0.0 (r0:1,((r2:1,r3:1)1:0.244982646778,(r1:1,((r6:1,r7:1)0.99:0.0641971480266,(r4:1,r5:1)1:0.215166412578)0.89:0.0411602729048)0.55:0.0161053287242):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 41 12.006033469772401 3.768 941 (r4:1,(r5:1,((r7:1,((r1:1,r0:1)0.84:0.0350088164358,(r2:1,r3:1)1:0.274285692501)0.97:0.0553236990637)0.45:0.0135149934035,r6:1)1:0.259122770543):0); 0.20088165898146854 0.11428571428571432 (r7:1,(r6:1,((r4:1,r5:1)1:0.25032454185,((r3:1,r2:1)1:0.252984582642,(r0:1,r1:1)0.85:0.0369783312128)0.96:0.0529003409067)0.59:0.019108861698):0); 0.0 0.0
1000 1000.0 42 11.795202020979538 3.953 946 (r3:1,(r2:1,((r1:1,r0:1)0.69:0.0251641273324,((r7:1,r6:1)0.5:0.030363946463,(r5:1,r4:1)1:0.244664687368)0.96:0.0525230843932)1:0.241797986886):0); 0.0 0.0 (r3:1,(r2:1,((r1:1,r0:1)0.47:0.0138344089611,((r6:1,r7:1)0.59:0.0248920129069,(r5:1,r4:1)1:0.23813195108)0.97:0.0550709483079)1:0.235551760935):0); 0.0 0.0
