1000 1000.0 1 10.93957023809524 1.926 811 (r3:1,(((r6:1,r7:1)1:0.137392125239,(r2:1,(r0:1,r1:1)1:0.159057804991)1:0.151677051793)0.45:0.00815000436192,(r5:1,r4:1)0.49:0.0119593405694):0); 0.34833084106647516 0.2857142857142857 (r3:1,(((r6:1,r7:1)1:0.169066709988,(r2:1,(r0:1,r1:1)1:0.171189936136)1:0.194644213185)0.42:0.00925266187799,(r4:1,r5:1)0.54:0.0193587298695):0); 0.34833084106647516 0.2857142857142857
1000 1000.0 20 10.441336904761906 1.957 788 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.0806922692423)1:0.156776501905)0.6:0.0188240852456)0.4:0.00463108656713)1:0.134416613773,r6:1):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,(r5:1,((r4:1,r3:1)0.61:0.0252696217928,(r7:1,r6:1)1:0.145791554286)0.44:0.010152371464)1:0.213515757241)1:0.107179800574):0); 0.3340250044126062 0.30000000000000004
1000 1000.0 21 10.715865476190476 1.942 791 (r5:1,((r4:1,(r6:1,r7:1)1:0.160816201787)0.47:0.00972495665144,(r3:1,(r2:1,(r0:1,r1:1)1:0.159760792718)1:0.150442528561)0.66:0.0254629725115):0); 0.17556643393915275 0.11428571428571432 (r0:1,(r1:1,(r2:1,((r5:1,(r6:1,r7:1)1:0.169266019329)0.53:0.0177045120688,(r3:1,r4:1)0.41:0.00845847864995)1:0.203907446465)1:0.193454729786):0); 0.20410776171712283 0.12857142857142856
1000 1000.0 22 10.65092857142857 1.971 804 (r5:1,(((r4:1,(r7:1,r6:1)1:0.163636083811)0.44:0.00739490742194,(r2:1,(r0:1,r1:1)1:0.147529293029)1:0.139256325965)0.42:0.00668228346858,r3:1):0); 0.29198726827086396 0.24285714285714288 (r5:1,((r4:1,r3:1)0.43:0.011804942144,((r6:1,r7:1)1:0.168934004372,((r0:1,r1:1)1:0.169382374423,r2:1)1:0.192443988102)0.46:0.01351654383):0); 0.362141354931442 0.30000000000000004
1000 1000.0 23 10.156926190476192 2.022 791 (r6:1,(r7:1,((r3:1,(r4:1,(r2:1,(r0:1,r1:1)1:0.107360516324)1:0.166021560049)0.44:0.00819197091459)0.85:0.0379228544377,r5:1)1:0.144754403978):0); 0.1790338045715902 0.12857142857142856 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.111352888171)1:0.216392988704)0.45:0.0102735875149,(r5:1,(r6:1,r7:1)1:0.148155812378)0.6:0.0236578158225):0); 0.0 0.0
1000 1000.0 24 10.21510119047619 2.001 807 (r3:1,((r4:1,(r5:1,(r6:1,r7:1)1:0.130311236813)0.52:0.0129455713515)0.61:0.0188240852456,(r2:1,(r1:1,r0:1)1:0.149267517002)1:0.126350160867):0); 0.0 0.0 (r5:1,((r7:1,r6:1)1:0.128484815873,(r4:1,(r3:1,((r1:1,r0:1)1:0.173033835601,r2:1)1:0.172310485515)0.79:0.0398237640276)0.49:0.0163105631575):0); 0.0 0.0
1000 1000.0 25 10.756411904761904 1.923 786 (r6:1,(r7:1,(((r4:1,r3:1)0.44:0.00768848848388,(r2:1,(r0:1,r1:1)1:0.168944891183)1:0.147182010511)0.64:0.0208196277824,r5:1)1:0.159409237081):0); 0.20410776171712283 0.12857142857142856 (r5:1,((r7:1,r6:1)1:0.166482114209,(r4:1,(r3:1,((r0:1,r1:1)1:0.164891921659,r2:1)1:0.200905228826)0.56:0.019994953482)0.45:0.0122392866309):0); 0.0 0.0
1000 1000.0 26 11.08185357142857 1.894 818 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,((r0:1,r1:1)1:0.147182010511,r2:1)1:0.107402225569)0.47:0.0093677500036)0.81:0.0319098404907)1:0.103696898571):0); 0.0 0.0 (r0:1,((r2:1,((r3:1,r4:1)0.54:0.0197971055003,(r5:1,(r6:1,r7:1)1:0.110567165884)0.8:0.0445280212586)1:0.14376367395)1:0.198298918483,r1:1):0); 0.20410776171712283 0.12857142857142856
1000 1000.0 27 10.956579365079364 1.963 792 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.115064456621)1:0.163150850338,r3:1)0.56:0.0201823197499)0.63:0.0198001297968)1:0.143369841625):0); 0.0 0.0 (r5:1,((r4:1,(r6:1,r7:1)1:0.172204513321)0.55:0.019196876826,(r3:1,(r2:1,(r1:1,r0:1)1:0.162843376589)1:0.19053288555)0.65:0.0275925033478):0); 0.17556643393915275 0.11428571428571432
1000 1000.0 28 10.599455555555554 1.962 801 (r4:1,(r3:1,((r5:1,(r7:1,r6:1)1:0.137850683082)0.5:0.0168748494914,(r2:1,(r1:1,r0:1)1:0.173212322979)1:0.142275087691)0.57:0.0174676930404):0); 0.20410776171712283 0.12857142857142856 (r1:1,(r0:1,(r2:1,(r3:1,(r5:1,((r7:1,r6:1)1:0.15693505637,r4:1)0.47:0.0199721331869)0.49:0.018780337746)1:0.178074415223)1:0.195744577126):0); 0.17556643393915275 0.11428571428571432
1000 1000.0 29 10.724154761904762 1.949 811 (r4:1,(r3:1,(r5:1,((r7:1,r6:1)1:0.196406296676,(r2:1,(r0:1,r1:1)1:0.135788826682)1:0.160728208474)0.51:0.0123132602334)0.53:0.0162146661396):0); 0.362141354931442 0.30000000000000004 (r5:1,((r2:1,(r1:1,r0:1)1:0.153706465709)1:0.222179052222,((r7:1,r6:1)1:0.185112905431,(r4:1,r3:1)0.52:0.0185808353387)0.52:0.0186196761822):0); 0.3340250044126062 0.30000000000000004
