1000 100000.0 2 13.640132008808568 63.545 878 (r2:1,((r0:1,r1:1)1:0.172143756537,(r3:1,((r4:1,r5:1)0.39:0.00444292211084,(r6:1,r7:1)1:0.149137045347)0.96:0.0513721659978)1:0.135102484857):0); 0.19443359141936595 0.11428571428571432 (r0:1,((r2:1,((r4:1,r3:1)0.48:0.0130720815674,(r5:1,(r7:1,r6:1)1:0.177498043824)0.78:0.0328772392311)1:0.233404557295)1:0.216919206558,r1:1):0); 0.20410776171712283 0.12857142857142856
1000 100000.0 30 13.579619596436697 63.883 882 (r7:1,(r6:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.135102484857)1:0.130183214964)0.5:0.0113865932196,r4:1)0.73:0.0265096345032)1:0.113049004142):0); 0.0 0.0 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.199206566357)1:0.217058829112)0.61:0.0186544355718,((r6:1,r7:1)1:0.259122770543,r5:1)0.55:0.023436845452):0); 0.0 0.0
1000 100000.0 31 13.60148253098272 63.277 857 (r5:1,((r7:1,r6:1)1:0.137506744988,(r4:1,((r2:1,(r0:1,r1:1)1:0.123167134307)1:0.149354507564,r3:1)0.75:0.0287133389006)0.55:0.0152252075971):0); 0.0 0.0 (r3:1,(((r5:1,(r7:1,r6:1)1:0.248107858484)0.88:0.0391374596046,(r2:1,(r0:1,r1:1)1:0.216519526297)1:0.210711780579)0.48:0.0112755869476,r4:1):0); 0.20410776171712283 0.12857142857142856
1000 100000.0 32 13.624427372772828 63.723 865 (r0:1,(r1:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.137850683082)0.36:0.00181233059011)0.57:0.0167901862394)1:0.138323791196,r2:1)1:0.143024000363):0); 0.0 0.0 (r3:1,(r4:1,((r2:1,(r1:1,r0:1)1:0.223268434237)1:0.217745987867,((r7:1,r6:1)1:0.21987585986,r5:1)0.9:0.0407074940803)0.46:0.00953583135537):0); 0.20410776171712283 0.12857142857142856
1000 100000.0 33 13.674304730629762 63.924 865 (r2:1,((r0:1,r1:1)1:0.112713489963,(r4:1,(r3:1,(r5:1,(r7:1,r6:1)1:0.145794085236)0.68:0.0230534098645)0.53:0.0273434756727)1:0.160728208474):0); 0.1790338045715902 0.12857142857142856 (r7:1,(r6:1,((r5:1,r4:1)0.44:0.00783531134237,((r2:1,(r1:1,r0:1)1:0.25757057776)1:0.184321557461,r3:1)0.78:0.0297848517648)1:0.233956673096):0); 0.19443359141936595 0.11428571428571432
1000 100000.0 34 13.702067870234622 63.208 854 (r2:1,((r1:1,r0:1)1:0.145100844307,(r3:1,((r5:1,r4:1)0.38:0.0035026305512,(r7:1,r6:1)1:0.150660274887)0.53:0.0143380647723)1:0.131464171587):0); 0.19443359141936595 0.11428571428571432 (r2:1,((r0:1,r1:1)1:0.236848424145,(r3:1,(r5:1,(r4:1,(r6:1,r7:1)1:0.198475304899)0.37:0.00293887971413)0.66:0.0229043357211)1:0.256214382647):0); 0.17556643393915275 0.11428571428571432
1000 100000.0 35 13.560211335984706 64.001 870 (r2:1,((r0:1,r1:1)1:0.123845330332,(r4:1,((r5:1,r3:1)0.58:0.0194180858571,(r7:1,r6:1)1:0.151967749469)0.43:0.00840183009985)1:0.130610018214):0); 0.29912715116429606 0.24285714285714288 (r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.230412664661)1:0.191055236763)0.8:0.0346293816255,(r4:1,(r7:1,r6:1)1:0.283097194491)0.44:0.0115579176071):0); 0.17556643393915275 0.11428571428571432
1000 100000.0 36 13.663390377420118 63.26 881 (r7:1,(((r4:1,r5:1)0.57:0.0159862426414,(r3:1,(r2:1,(r0:1,r1:1)1:0.141987193634)1:0.156995631959)0.61:0.0219678067693)1:0.154587838304,r6:1):0); 0.19443359141936595 0.11428571428571432 (r1:1,((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.236848424145)0.59:0.0175100524601)0.62:0.0201823197499)1:0.20940839189)1:0.263403765601,r0:1):0); 0.0 0.0
1000 100000.0 37 13.765550292711064 63.003 857 (r2:1,((r0:1,r1:1)1:0.15031190352,((r5:1,(r6:1,r7:1)1:0.163636083811)0.63:0.0198001297968,(r3:1,r4:1)0.36:0.00200000066667)1:0.131962764852):0); 0.20410776171712283 0.12857142857142856 (r6:1,(r7:1,(r5:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.216546975026)1:0.21125767582)0.44:0.0078562877963,r4:1)0.45:0.0133251500237)1:0.239891408615):0); 0.0 0.0
1000 100000.0 38 13.654433610328903 63.183 879 (r3:1,(r4:1,((r2:1,(r1:1,r0:1)1:0.180006556159)1:0.113468555228,((r6:1,r7:1)1:0.126222645087,r5:1)0.61:0.0187816701289)0.74:0.0273434756727):0); 0.20410776171712283 0.12857142857142856 (r4:1,(r3:1,((r2:1,(r1:1,r0:1)1:0.252542526169)1:0.200892738817,(r5:1,(r6:1,r7:1)1:0.251757117841)0.74:0.0276904404738)0.67:0.0231935147497):0); 0.20410776171712283 0.12857142857142856
1000 100000.0 39 13.749234671672035 62.941 859 (r1:1,(r0:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.149267517002)0.51:0.0125661367045)0.5:0.0120604476925)1:0.141555507895,r2:1)1:0.164342298529):0); 0.0 0.0 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.25408692802)0.61:0.021138434174)0.49:0.0112182005274)1:0.2075625215)1:0.251771218765,r1:1):0); 0.0 0.0
1000 100000.0 3 13.655519955063982 63.22 866 (r1:1,(r0:1,((r3:1,(r5:1,(r4:1,(r6:1,r7:1)1:0.134759490513)0.53:0.0142747275331)0.54:0.0147604155831)1:0.156995631959,r2:1)1:0.118095272209):0); 0.17556643393915275 0.11428571428571432 (r4:1,(r5:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.25370060389)1:0.214502174611)0.54:0.0198001297968,(r7:1,r6:1)1:0.267409437509)0.65:0.0209471381428):0); 0.19443359141936595 0.11428571428571432
