10 10000.0 24 12.10276852763055 25.3 10 (r0:1,(((r7:1,(r4:1,r5:1)0.46:0.0465200156349)0.68:0.200670695462,(r6:1,(r2:1,r1:1)0.51:0.0755075525081)0.48:0.0584962066816)0.73:0.238411023445,r3:1):0); 0.6338759574618922 0.5285714285714286 (r5:1,(r4:1,(r6:1,((r1:1,r0:1)0.37:0,(r7:1,(r3:1,r2:1)0.59:0.136132174325)0.46:0.0465200156349)0.57:0.120627987789)0.75:0.269663566949):0); 0.3017219200975567 0.2857142857142857
10 10000.0 25 12.3934324967017 25.2 10 (r7:1,((r4:1,r5:1)0.69:0.200670695462,((r1:1,(r0:1,(r2:1,r3:1)0.59:0.136132174325)0.49:0.0828876598058)0.44:0.0307716586668,r6:1)0.36:0):0); 0.3091980720371233 0.22857142857142854 (r6:1,(r3:1,((r0:1,(r1:1,(r4:1,r5:1)0.68:0.200670695462)0.54:0.101579792818)0.44:0.0346855579879,(r2:1,r7:1)0.66:0.180051408259)0.46:0.0465200156349):0); 0.6641995709691018 0.5857142857142856
10 10000.0 26 12.034496269848212 25.5 10 (r5:1,(r7:1,(r4:1,((r0:1,(r6:1,(r2:1,r3:1)0.64:0.167880872639)0.6:0.140046073646)0.51:0.0953101798043,r1:1)0.41:0.0114286958236)0.38:0):0); 0.5557367203679963 0.48571428571428577 (r3:1,((r1:1,r2:1)0.47:0.0755075525081,((r5:1,(r6:1,r4:1)0.38:0)0.41:0.0114286958236,(r0:1,r7:1)0.56:0.112117298121)0.68:0.200670695462):0); 0.664308074728671 0.5
10 10000.0 27 12.293908020122641 29.5 10 (r1:1,(r6:1,((r0:1,(r5:1,(r4:1,r7:1)0.38:0)0.54:0.101579792818)0.55:0.120627987789,(r2:1,r3:1)0.6:0.140046073646)0.66:0.180051408259):0); 0.567337807984504 0.5142857142857142 (r0:1,((r6:1,((r1:1,r2:1)0.65:0.180051408259,(r3:1,r7:1)0.4:0.0114286958236)0.51:0.0828876598058)0.58:0.140046073646,(r4:1,r5:1)0.64:0.200670695462):0); 0.5920892056331858 0.5714285714285714
10 10000.0 28 11.62416171868829 28.7 10 (r3:1,(r2:1,(r1:1,(r7:1,(r6:1,((r5:1,r4:1)0.55:0.136132174325,r0:1)0.71:0.22172410466)0.41:0.0152674721308)0.6:0.140046073646)0.61:0.167880872639):0); 0.4586053110679366 0.41428571428571426 (r0:1,(r7:1,((r6:1,(r4:1,r5:1)0.75:0.269663566949)0.44:0.0346855579879,(r3:1,(r2:1,r1:1)0.45:0.105360515658)0.64:0.173271721274)0.42:0.0307716586668):0); 0.5287956627038696 0.4285714285714286
10 10000.0 29 11.711632696383875 29.8 10 (r6:1,((r5:1,(r4:1,(r1:1,(r0:1,(r2:1,r3:1)0.83:0.343771539103)0.69:0.200670695462)0.51:0.112117298121)0.41:0.0114286958236)0.59:0.234572247138,r7:1):0); 0.3091980720371233 0.22857142857142854 (r5:1,(r4:1,((r3:1,(r1:1,(r0:1,r2:1)0.45:0.0465200156349)0.36:0)0.59:0.133531392625,(r6:1,r7:1)0.49:0.0694285064318)0.66:0.22172410466):0); 0.2672083416810133 0.18571428571428572
10 10000.0 2 12.124660439917944 30.1 9 (r6:1,((r0:1,(r4:1,r5:1)0.76:0.269663566949)0.52:0.0828876598058,(r7:1,((r1:1,r3:1)0.53:0.136132174325,r2:1)0.5:0.101579792818)0.46:0.0465200156349):0); 0.5557367203679963 0.48571428571428577 (r5:1,((r6:1,(r7:1,(r1:1,(r0:1,(r2:1,r3:1)0.94:0.510825623766)0.45:0.0828876598058)0.39:0)0.54:0.101579792818)0.65:0.200670695462,r4:1):0); 0.3091980720371233 0.22857142857142854
10 10000.0 30 11.855700607260726 26.7 10 (r3:1,(r2:1,(r7:1,(r6:1,((r0:1,r1:1)0.79:0.310671590676,(r5:1,r4:1)0.84:0.334202088087)0.38:0)0.34:0)0.51:0.0755075525081):0); 0.35276631964633487 0.34285714285714286 (r7:1,(r6:1,((r5:1,r4:1)0.63:0.159848700942,((r0:1,r1:1)0.6:0.140046073646,(r3:1,r2:1)0.62:0.159848700942)0.4:0.00284495213223)0.45:0.0828876598058):0); 0.0 0.0
10 10000.0 31 12.041657268580838 28.2 10 (r6:1,((r7:1,(r3:1,(r0:1,r2:1)0.38:0)0.55:0.120627987789)0.44:0.0307716586668,((r4:1,r5:1)0.73:0.234572247138,r1:1)0.69:0.22172410466):0); 0.5557367203679963 0.48571428571428577 (r5:1,(r4:1,(r1:1,(r7:1,((r3:1,(r0:1,r2:1)0.37:0)0.51:0.0828876598058,r6:1)0.44:0.0307716586668)0.44:0.0465200156349)0.55:0.105360515658):0); 0.5557367203679963 0.48571428571428577
10 10000.0 32 13.390167174490148 25.6 10 (r1:1,((r0:1,((r2:1,r3:1)0.82:0.318453731119,(r6:1,(r4:1,r5:1)0.72:0.269663566949)0.5:0.070617567214)0.43:0.0229895182247)0.46:0.0465200156349,r7:1):0); 0.36840052484865327 0.3571428571428571 (r5:1,(((r6:1,r7:1)0.44:0.0465200156349,((r1:1,r0:1)0.38:0,(r3:1,r2:1)0.81:0.310671590676)0.55:0.120627987789)0.66:0.22172410466,r4:1):0); 0.0 0.0
