1000 10000.0 32 12.684129270977635 5.925 934 (r0:1,((r2:1,r3:1)1:0.230790094369,(((r4:1,r5:1)1:0.269614510068,(r6:1,r7:1)0.46:0.00915768803455)1:0.0774756590437,r1:1)0.55:0.0169383516346):0); 0.20088165898146854 0.11428571428571432 (r4:1,(((r7:1,r6:1)0.59:0.0184400982004,((r0:1,r1:1)0.6:0.0189397092421,(r3:1,r2:1)1:0.253075665844)1:0.0707319477008)1:0.251950411103,r5:1):0); 0.0 0.0
1000 10000.0 33 12.651583010615589 6.076 955 (r4:1,(((r6:1,r7:1)0.51:0.0119972545426,((r2:1,r3:1)1:0.236089122666,(r0:1,r1:1)0.4:0.00481928643595)0.89:0.0405527687767)1:0.223127942045,r5:1):0); 0.0 0.0 (r2:1,(((r0:1,r1:1)0.49:0.012495177856,((r5:1,r4:1)1:0.222576634919,(r6:1,r7:1)0.74:0.0283475145763)0.92:0.0451507562277)1:0.23184417395,r3:1):0); 0.0 0.0
1000 10000.0 34 12.813055576267285 5.9 945 (r6:1,(r7:1,((r4:1,r5:1)1:0.253314428948,((r1:1,r0:1)0.73:0.030363946463,(r3:1,r2:1)1:0.244903950439)0.92:0.0439722435561)0.91:0.0416262014243):0); 0.0 0.0 (r7:1,(r6:1,((r5:1,r4:1)1:0.268129095519,((r3:1,r2:1)1:0.249515791992,(r0:1,r1:1)0.86:0.0382057583426)0.93:0.0481449250022)0.81:0.032835876515):0); 0.0 0.0
1000 10000.0 35 12.578921155935326 5.913 957 (r5:1,(r4:1,(((r3:1,r2:1)1:0.240844243371,(r1:1,r0:1)0.71:0.0253562318378)0.99:0.0614464035674,(r6:1,r7:1)0.63:0.0205646558279)1:0.201128675777):0); 0.0 0.0 (r6:1,(r7:1,((r5:1,r4:1)1:0.220223935404,((r2:1,r3:1)1:0.253477615042,(r0:1,r1:1)0.45:0.0103216478081)0.98:0.0588642844881)0.81:0.0342331716422):0); 0.0 0.0
1000 10000.0 36 12.667527879555118 5.955 960 (r0:1,(r1:1,((r2:1,r3:1)1:0.268143921567,((r7:1,r6:1)0.74:0.0371449469694,(r5:1,r4:1)1:0.237750844116)0.84:0.0350088164358)0.76:0.0288204385355):0); 0.0 0.0 (r7:1,((r6:1,((r3:1,r2:1)1:0.264268989927,(r0:1,r1:1)0.44:0.00810361189193)0.65:0.0219555561449)0.85:0.0418031587213,(r5:1,r4:1)1:0.221084945488):0); 0.20088165898146854 0.11428571428571432
1000 10000.0 37 12.948405630794738 5.801 934 (r2:1,(((r1:1,r0:1)0.75:0.0276643690426,((r4:1,r5:1)1:0.280465418014,(r6:1,r7:1)0.92:0.0437765296891)0.94:0.0468144074726)1:0.260337099776,r3:1):0); 0.0 0.0 (r3:1,(r2:1,(((r4:1,r5:1)1:0.305749763523,(r6:1,r7:1)0.98:0.0576047290536)0.93:0.0459417005677,(r0:1,r1:1)0.48:0.0111438296749)1:0.252568508817):0); 0.0 0.0
1000 10000.0 38 12.852757926642393 5.924 943 (r3:1,(r2:1,(((r7:1,r6:1)0.49:0.0137048728306,(r5:1,r4:1)1:0.245861575602)0.96:0.0515365018348,(r1:1,r0:1)0.75:0.028242236727)1:0.236800950908):0); 0.0 0.0 (r6:1,(r7:1,(((r3:1,r2:1)1:0.233246865897,(r1:1,r0:1)0.95:0.0509831367216)0.95:0.0527162230695,(r5:1,r4:1)1:0.244519009739)0.4:0.0049082262077):0); 0.0 0.0
1000 10000.0 39 12.716941451977974 5.988 942 (r3:1,(r2:1,((r0:1,r1:1)0.76:0.0293989748548,((r6:1,r7:1)1:0.0715560937962,(r4:1,r5:1)1:0.256698526932)0.88:0.0405527687767)1:0.228527649965):0); 0.0 0.0 (r2:1,(((r0:1,r1:1)0.85:0.0374455601104,((r6:1,r7:1)0.94:0.049572538207,(r5:1,r4:1)1:0.258838194951)0.84:0.0385640373165)1:0.252244296923,r3:1):0); 0.0 0.0
1000 10000.0 3 12.775547431116815 5.964 942 (r0:1,(r1:1,(((r5:1,r4:1)1:0.25815236775,(r6:1,r7:1)0.77:0.0292060922233)0.92:0.0453433141851,(r3:1,r2:1)1:0.282699501107)0.74:0.0272793093536):0); 0.0 0.0 (r0:1,(((r3:1,r2:1)1:0.265188996402,((r7:1,r6:1)0.93:0.0471222552315,(r5:1,r4:1)1:0.29389005928)0.8:0.0339196625322)0.62:0.0195799349447,r1:1):0); 0.0 0.0
1000 10000.0 40 12.74271844658292 6.021 948 (r3:1,(((r1:1,r0:1)0.9:0.0408454088803,(r7:1,(r6:1,(r4:1,r5:1)1:0.239891408615)0.44:0.00764654305488)0.94:0.0488775805775)1:0.241321001425,r2:1):0); 0.20088165898146854 0.11428571428571432 (r1:1,(((r2:1,r3:1)1:0.22927040069,((r7:1,r6:1)0.64:0.022257630514,(r4:1,r5:1)1:0.229593152994)0.85:0.0362665472694)0.97:0.0536969678603,r0:1):0); 0.0 0.0
1000 10000.0 41 12.98878184674212 5.863 958 (r5:1,(r4:1,((r6:1,r7:1)0.83:0.0338455747382,((r2:1,r3:1)1:0.254280146068,(r0:1,r1:1)0.49:0.0129455713515)0.93:0.0443637862392)1:0.225002796122):0); 0.0 0.0 (r0:1,(r1:1,((r3:1,r2:1)1:0.265097380465,((r5:1,r4:1)1:0.282144032668,(r6:1,r7:1)0.98:0.0600866061032)0.72:0.0266664801494)0.65:0.0220841754172):0); 0.0 0.0
1000 10000.0 42 12.654431505547043 5.972 956 (r2:1,(r3:1,((r1:1,r0:1)0.78:0.030363946463,((r4:1,r5:1)1:0.217291576698,(r7:1,r6:1)0.79:0.0319098404907)0.93:0.0451473318229)1:0.259122770543):0); 0.0 0.0 (r6:1,(r7:1,(((r3:1,r2:1)1:0.250704350893,(r0:1,r1:1)0.75:0.028730521363)0.67:0.0234436393819,(r5:1,r4:1)1:0.257981988787)0.77:0.0302860146054):0); 0.0 0.0
1000 10000.0 43 12.516237544197192 6.065 948 (r4:1,(r5:1,((r6:1,r7:1)0.9:0.0412357289477,((r1:1,r0:1)0.64:0.0209471381428,(r3:1,r2:1)1:0.230648541534)0.76:0.0285312958416)1:0.236563618523):0); 0.0 0.0 (r7:1,(r6:1,((r4:1,r5:1)1:0.245261356568,((r3:1,r2:1)1:0.272340426626,(r1:1,r0:1)0.92:0.0445230943349)0.79:0.0320584945154)0.91:0.0441450063369):0); 0.0 0.0
1000 10000.0 44 12.650487229751972 6.105 939 (r1:1,(r0:1,((r2:1,r3:1)1:0.280713403136,((r5:1,r4:1)1:0.221957940742,(r7:1,r6:1)0.98:0.0577682842063)0.88:0.0390908514558)0.64:0.0215211360539):0); 0.0 0.0 (r2:1,(r3:1,(((r6:1,r7:1)0.96:0.053417237497,(r4:1,r5:1)1:0.228782312731)0.75:0.028299560174,(r1:1,r0:1)0.61:0.0203770366529)1:0.296753017117):0); 0.0 0.0
1000 10000.0 45 12.96799915241595 5.955 960 (r1:1,(r0:1,(((r4:1,r5:1)1:0.272316218699,(r6:1,r7:1)0.71:0.0253562318378)0.49:0.0119024723047,(r2:1,r3:1)1:0.239891408615)0.94:0.0465200156349):0); 0.0 0.0 (r0:1,(r1:1,((r2:1,r3:1)1:0.230134881312,((r5:1,r4:1)1:0.269123915219,(r6:1,r7:1)0.75:0.0285932776668)0.91:0.0434131626705)0.46:0.014006571479):0); 0.0 0.0
1000 10000.0 46 12.7727738008294 6.032 946 (r6:1,(((r4:1,r5:1)1:0.217524378469,(r1:1,(r0:1,(r2:1,r3:1)1:0.249460859632)0.6:0.0182728290035)0.84:0.0350734806668)0.43:0.00708045189909,r7:1):0); 0.20088165898146854 0.11428571428571432 (r6:1,(((r4:1,r5:1)1:0.238848803905,((r2:1,r3:1)1:0.274419790896,(r1:1,r0:1)0.57:0.0240011520995)0.77:0.0337815834105)0.43:0.00997514505682,r7:1):0); 0.0 0.0
1000 10000.0 47 12.77777048313056 5.97 948 (r7:1,((r6:1,(r5:1,r4:1)1:0.23267938267)0.47:0.00934674182091,((r2:1,r3:1)1:0.242991446868,(r0:1,r1:1)0.53:0.0150350392975)0.96:0.0562479745636):0); 0.20088165898146854 0.11428571428571432 (r3:1,(((r0:1,r1:1)0.76:0.0292416539101,((r5:1,r4:1)1:0.231438336395,(r7:1,r6:1)0.45:0.0095125568677)0.97:0.0562061191041)1:0.253176134641,r2:1):0); 0.0 0.0
1000 10000.0 48 12.666392634040733 5.98 954 (r6:1,(r7:1,((r4:1,r5:1)1:0.263988960194,((r0:1,r1:1)0.9:0.0412357289477,(r3:1,r2:1)1:0.262770191)0.99:0.0646384262278)0.92:0.0433852168295):0); 0.0 0.0 (r2:1,(r3:1,((r1:1,r0:1)0.73:0.0325605514138,((r5:1,r4:1)1:0.253031737514,(r6:1,r7:1)0.97:0.0560318911552)0.97:0.0536511613516)1:0.229129990237):0); 0.0 0.0
1000 10000.0 49 12.802730359419293 5.87 956 (r3:1,(r2:1,(((r7:1,r6:1)0.99:0.0613468168522,(r4:1,r5:1)1:0.287931853894)0.97:0.0539059372409,(r1:1,r0:1)0.52:0.0154154120674)1:0.258637451436):0); 0.0 0.0 (r3:1,(r2:1,((r0:1,r1:1)0.64:0.0245161071178,((r6:1,r7:1)0.85:0.0370090997138,(r5:1,r4:1)1:0.283427021225)0.97:0.0567799010046)1:0.253599424626):0); 0.0 0.0
1000 10000.0 4 12.933735901431206 5.817 944 (r3:1,(r2:1,((r1:1,r0:1)0.96:0.0502553979395,(r7:1,(r6:1,(r5:1,r4:1)1:0.2184095198)0.85:0.0387013675171)0.93:0.0457353941745)1:0.230648541534):0); 0.20088165898146854 0.11428571428571432 (r5:1,(r4:1,(r6:1,(r7:1,((r3:1,r2:1)1:0.229147728567,(r0:1,r1:1)0.92:0.044276059348)0.89:0.0405548196745)0.96:0.0529095735682)1:0.189306741738):0); 0.20088165898146854 0.11428571428571432
1000 10000.0 50 12.708245525090629 5.995 962 (r1:1,(r0:1,((r7:1,(r6:1,(r4:1,r5:1)1:0.2677031664)0.37:0.00237544651301)0.96:0.0518981357666,(r3:1,r2:1)1:0.233720014711)0.41:0.00576081743479):0); 0.20088165898146854 0.11428571428571432 (r6:1,(r7:1,((r5:1,r4:1)1:0.274967587937,((r1:1,r0:1)0.6:0.0188835398405,(r2:1,r3:1)1:0.2216144375)0.95:0.0506551651138)0.48:0.0103343191951):0); 0.0 0.0
1000 10000.0 51 12.615403844193937 5.984 932 (r3:1,(r2:1,((r0:1,r1:1)0.8:0.0317164729951,((r4:1,r5:1)1:0.281705959048,(r6:1,r7:1)0.54:0.0142747275331)0.97:0.0539059372409)1:0.210101472662):0); 0.0 0.0 (r4:1,(r5:1,(((r2:1,r3:1)1:0.25986351197,(r1:1,r0:1)0.75:0.0288181419208)0.93:0.0467438816147,(r7:1,r6:1)0.72:0.0265446662752)1:0.26194488933):0); 0.0 0.0
1000 10000.0 52 12.569268326260183 5.991 945 (r2:1,(((r1:1,r0:1)0.37:0.00275103337189,((r4:1,r5:1)1:0.282202606687,(r6:1,r7:1)0.78:0.0359792192291)0.82:0.0337486989812)1:0.313486691704,r3:1):0); 0.0 0.0 (r3:1,(r2:1,(r0:1,(r1:1,((r4:1,r5:1)1:0.29103561616,(r6:1,r7:1)0.58:0.0168891730558)0.95:0.0533035209964)0.52:0.013639885704)1:0.27421522947):0); 0.20088165898146854 0.11428571428571432
1000 10000.0 53 12.919979075712206 5.97 944 (r5:1,(r4:1,((r7:1,r6:1)0.88:0.0396753619449,((r1:1,r0:1)0.88:0.0396753619449,(r2:1,r3:1)1:0.224299313856)0.77:0.0291096648571)1:0.275025246337):0); 0.0 0.0 (r4:1,(r5:1,(((r3:1,r2:1)1:0.215111379617,(r0:1,r1:1)0.59:0.0219177785548)0.84:0.0376507985733,(r6:1,r7:1)0.75:0.0287355117733)1:0.260655114964):0); 0.0 0.0
1000 10000.0 54 12.900407515169503 5.863 949 (r2:1,(r3:1,((r0:1,r1:1)0.94:0.0461276279508,((r6:1,r7:1)0.58:0.017128882263,(r5:1,r4:1)1:0.216826135684)0.92:0.0436786871178)1:0.284191667512):0); 0.0 0.0 (r2:1,(r3:1,(((r6:1,r7:1)0.59:0.021220429391,(r4:1,r5:1)1:0.249065286826)0.94:0.0470585086104,(r0:1,r1:1)0.5:0.0121149756721)1:0.24940290896):0); 0.0 0.0
1000 10000.0 55 12.92777644713481 5.965 956 (r4:1,((r7:1,(r6:1,((r3:1,r2:1)1:0.201357744613,(r0:1,r1:1)0.37:0.00237544651301)0.99:0.0652713903532)0.48:0.0104818157226)1:0.209870392361,r5:1):0); 0.20088165898146854 0.11428571428571432 (r6:1,((r5:1,r4:1)1:0.225649785912,(r7:1,((r3:1,r2:1)1:0.215852490851,(r0:1,r1:1)0.68:0.0239018069385)0.98:0.0588564393261)0.51:0.0124878389182):0); 0.20088165898146854 0.11428571428571432
1000 10000.0 56 12.656586894198707 5.981 942 (r6:1,((r4:1,r5:1)1:0.262624038466,(r7:1,((r1:1,r0:1)0.82:0.0328772392311,(r2:1,r3:1)1:0.260823244656)1:0.0745114962698)0.39:0.00425479305376):0); 0.20088165898146854 0.11428571428571432 (r0:1,(r1:1,((r7:1,(r6:1,(r5:1,r4:1)1:0.265765610815)0.51:0.0151518050206)0.88:0.0400384478633,(r3:1,r2:1)1:0.251821403814)0.89:0.0406071841722):0); 0.20088165898146854 0.11428571428571432
1000 10000.0 57 13.021309322277572 5.825 939 (r2:1,(((r0:1,r1:1)0.48:0.0116181794812,((r7:1,r6:1)0.85:0.0357850633213,(r5:1,r4:1)1:0.279474092034)0.92:0.0442658861951)1:0.261066405752,r3:1):0); 0.0 0.0 (r0:1,(((r4:1,r5:1)1:0.250928551371,(r7:1,r6:1)0.8:0.0326188523018)0.95:0.0497162773649,((r3:1,r2:1)1:0.247668652162,r1:1)0.43:0.00740058881817):0); 0.20088165898146854 0.11428571428571432
1000 10000.0 58 12.666677070079965 5.943 951 (r1:1,(r0:1,((r3:1,r2:1)1:0.259122770543,((r6:1,(r4:1,r5:1)1:0.227398344368)0.36:0.00200000066667,r7:1)0.95:0.0478290876899)0.39:0.00444292211084):0); 0.20088165898146854 0.11428571428571432 (r1:1,((r0:1,((r4:1,r5:1)1:0.247671639608,(r7:1,r6:1)0.63:0.0207223326067)0.89:0.0415057099889)0.47:0.0115516122201,(r3:1,r2:1)1:0.238577640524):0); 0.20088165898146854 0.11428571428571432
1000 10000.0 59 12.723167831907364 6.056 948 (r4:1,(((r7:1,r6:1)0.92:0.0443637862392,((r0:1,r1:1)0.8:0.0315231428834,(r2:1,r3:1)1:0.252108592554)0.87:0.0385066824196)1:0.230176843412,r5:1):0); 0.0 0.0 (r1:1,(r0:1,((r3:1,r2:1)1:0.274198722114,((r4:1,r5:1)1:0.260307519523,(r7:1,r6:1)0.8:0.0320091878228)0.71:0.025832307292)0.88:0.0411657749625):0); 0.0 0.0
