1000 1000000.0 34 12.120544941723018 2138.718 76 (r4:1,(((r6:1,r7:1)0.78:0.0299778460721,(r1:1,(r0:1,(r2:1,r3:1)1:0.210980065121)0.42:0.00708045189909)0.93:0.0459968662638)1:0.250422860668,r5:1):0); 0.20088165898146854 0.11428571428571432 (r7:1,(((r4:1,r5:1)1:5.81014249065,((r1:1,r0:1)1:0.663375022226,(r3:1,r2:1)1:5.11699531009)1:0.730292127529)1:0.702683011915,r6:1):0); 0.0 0.0
1000 1000000.0 35 12.120411021065875 2134.22 82 (r1:1,(r0:1,(((r7:1,r6:1)0.36:0.00181233059011,(r5:1,r4:1)1:0.303287725174)0.99:0.0603514947834,(r3:1,r2:1)1:0.264232892383)0.51:0.0121868459737):0); 0.0 0.0 (r3:1,(((r1:1,r0:1)1:0.730292127529,((r6:1,r7:1)1:0.697401973614,(r4:1,r5:1)1:5.81014249065)1:0.777256587616)1:4.71153020198,r2:1):0); 0.0 0.0
1000 1000000.0 36 12.12562192073708 2135.071 84 (r4:1,(((r7:1,r6:1)0.63:0.0219039844506,(r0:1,(r1:1,(r2:1,r3:1)1:0.231545381414)0.39:0.00481928643595)0.91:0.0418214948533)1:0.263745087495,r5:1):0); 0.20088165898146854 0.11428571428571432 (r3:1,(((r0:1,r1:1)1:0.69214867823,((r7:1,r6:1)1:0.690652791639,(r4:1,r5:1)1:4.8450615946)1:0.648217749005)1:5.40467738254,r2:1):0); 0.0 0.0
1000 1000000.0 37 12.126212755014196 2135.859 82 (r7:1,(r6:1,((r4:1,r5:1)1:0.239891408615,((r1:1,r0:1)0.5:0.0119972545426,(r3:1,r2:1)1:0.232064972366)0.94:0.0460295550826)0.51:0.0131353426776):0); 0.0 0.0 (r6:1,(r7:1,(((r0:1,r1:1)1:0.701926868212,(r3:1,r2:1)1:5.58699893933)1:0.707992087715,(r4:1,r5:1)1:4.89385175877)1:0.698154702291):0); 0.0 0.0
1000 1000000.0 38 12.12459633583576 2132.453 77 (r2:1,(r3:1,((r0:1,r1:1)0.48:0.0173194492002,((r4:1,r5:1)1:0.268388869517,(r7:1,r6:1)0.89:0.0406503059629)0.98:0.0574706503929)1:0.260337099776):0); 0.0 0.0 (r0:1,(((r2:1,r3:1)1:5.18153383122,((r4:1,r5:1)1:4.71153020198,(r7:1,r6:1)1:0.693646805851)1:0.788732123383)1:0.71332950031,r1:1):0); 0.0 0.0
1000 1000000.0 39 12.127169264227643 2134.602 67 (r4:1,(r5:1,((r6:1,r7:1)0.6:0.0188452934787,((r0:1,(r2:1,r3:1)1:0.203972844858)0.44:0.0123764733564,r1:1)0.9:0.0414309461274)1:0.198612375696):0); 0.20088165898146854 0.11428571428571432 (r0:1,(((r3:1,r2:1)1:5.81014249065,((r4:1,r5:1)1:5.58699893933,(r6:1,r7:1)1:0.710276062823)1:0.766717373728)1:0.754693180761,r1:1):0); 0.0 0.0
1000 1000000.0 3 12.121850970596139 2141.911 74 (r2:1,(r3:1,((r0:1,r1:1)0.89:0.0410405498703,((r5:1,r4:1)1:0.260337099776,(r6:1,r7:1)0.84:0.0350088164358)0.92:0.0441679957345)1:0.23870164048):0); 0.0 0.0 (r6:1,(((r4:1,r5:1)1:5.28689434688,((r2:1,r3:1)1:5.25052670271,(r1:1,r0:1)1:0.678765578855)1:0.732627667711)1:0.673241720213,r7:1):0); 0.0 0.0
1000 1000000.0 40 12.11953662055683 2133.353 78 (r4:1,(r5:1,(r7:1,(r6:1,((r2:1,r3:1)1:0.210563793521,(r1:1,r0:1)0.48:0.0112392480633)0.93:0.0456046837632)0.71:0.024972059724)1:0.246005298504):0); 0.20088165898146854 0.11428571428571432 (r2:1,(((r1:1,r0:1)1:0.650010185405,((r7:1,r6:1)1:0.679504404156,(r5:1,r4:1)1:4.99921227443)1:0.785850870103)1:4.73258361118,r3:1):0); 0.0 0.0
1000 1000000.0 41 12.126608801205501 2136.024 78 (r2:1,(r3:1,((r0:1,r1:1)0.85:0.0363676441709,((r7:1,r6:1)0.82:0.0348148488278,(r5:1,r4:1)1:0.233720014711)0.94:0.0473052532096)1:0.272316218699):0); 0.0 0.0 (r6:1,(r7:1,(((r0:1,r1:1)1:0.695898213932,(r3:1,r2:1)1:6.50328967121)1:0.731070034998,(r4:1,r5:1)1:4.79854157897)1:0.69214867823):0); 0.0 0.0
1000 1000000.0 42 12.120020286236254 2136.205 68 (r5:1,(r4:1,((r6:1,r7:1)0.5:0.0118076990497,((r0:1,r1:1)0.62:0.0207558786988,(r3:1,r2:1)1:0.239891408615)0.99:0.0665385218042)1:0.214734327833):0); 0.0 0.0 (r5:1,(((r7:1,r6:1)1:0.754294853729,((r2:1,r3:1)1:6.50328967121,(r1:1,r0:1)1:0.678765578855)1:0.726799013168)1:6.01778185543,r4:1):0); 0.0 0.0
