,net,trees,admix,src_node,dest_node,pos_as_prop,pos_as_prop_rand,gamma,plot_admix
80,snaq-gt-1e3_imb-29-snaq-p548876.snaq.net-1.networks,"((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:2):0.147945779479):0.0159027421837):0.0093929848521):0.160883968861):0.132260253485,r0:1,r1:4.17306525691);","[(['r6'], ['r1'], 0.5, {}, '0.0158')]",['r6'],['r1'],0.5,0.3483958074317721,0.0158,"(['r6'], ['r1'], 0.3483958074317721, {'stroke': array((0.31410196, 0.38043922, 0.66875294, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0316, 'stroke-width': 2})"
81,snaq-gt-1e3_imb-43-snaq-p548876.snaq.net-1.networks,"((r2:1,((r4:1,r3:1):0.00286839797352,(r5:1,(r6:1,r7:1):0.161513850128):1.00965860577):0.148123021039):0.167335506841,r1:1,r0:6.49868870791);","[(['r5', 'r6', 'r7'], ['r0'], 0.5, {}, '0.013')]","['r5', 'r6', 'r7']",['r0'],0.5,0.3827630733256948,0.013,"(['r5', 'r6', 'r7'], ['r0'], 0.3827630733256948, {'stroke': array((0.32376471, 0.36792157, 0.66282353, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.026, 'stroke-width': 2})"
82,snaq-gt-1e3_imb-78-snaq-p548876.snaq.net-1.networks,"((r2:1,((r5:1,(r6:1,r7:1):0.140285020041):0.0121522360735,(r4:1,r3:1.16824668956):0.0151569061213):0.172648243649):0.191711383071,r1:1,r0:2);","[(['r0'], ['r3'], 0.5, {}, '0.127')]",['r0'],['r3'],0.5,0.26250606789692454,0.127,"(['r0'], ['r3'], 0.26250606789692454, {'stroke': array((0.54611765, 0.81796078, 0.64494118, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.254, 'stroke-width': 2})"
83,snaq-gt-1e3_imb-50-snaq-p548876.snaq.net-1.networks,"((r4:1,(r5:1,(r6:1,r7:2.44396021343):0.161679651906):0.0122660718624):0,r3:1,(r2:1,(r0:1,r1:1):0.15535313452):0.150249028733);","[(['r2', 'r0', 'r1'], ['r7'], 0.5, {}, '0.0221')]","['r2', 'r0', 'r1']",['r7'],0.5,0.978125977283153,0.0221,"(['r2', 'r0', 'r1'], ['r7'], 0.978125977283153, {'stroke': array((0.29236078, 0.40860392, 0.68209412, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0442, 'stroke-width': 2})"
84,snaq-gt-1e3_imb-58-snaq-p548876.snaq.net-1.networks,"(r1:1,r0:1,(r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1):0.138116981616):0.0215503370058):0.00482113859782):0.146137624742):0.167053684636);","[(['r6', 'r7'], ['r2', 'r3', 'r4', 'r5', 'r6', 'r7'], 0.5, {}, '0.0561')]","['r6', 'r7']","['r2', 'r3', 'r4', 'r5', 'r6', 'r7']",0.5,0.2378109596310548,0.0561,"(['r6', 'r7'], ['r2', 'r3', 'r4', 'r5', 'r6', 'r7'], 0.2378109596310548, {'stroke': array((0.22095686, 0.56108235, 0.72969412, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1122, 'stroke-width': 2})"
85,snaq-gt-1e3_imb-95-snaq-p548876.snaq.net-1.networks,"((r2:1,(r3:1,((r5:1,(r6:1,r7:1):0.152353719911):0.00704420252067,r4:7.96421689216):0.00358163559862):0.142326589544):0.184025245585,r0:1,r1:2);","[(['r1'], ['r4'], 0.5, {}, '0.00942')]",['r1'],['r4'],0.5,0.13055355145811565,0.00942,"(['r1'], ['r4'], 0.13055355145811565, {'stroke': array((0.33611922, 0.35191686, 0.65524235, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.01884, 'stroke-width': 2})"
86,snaq-gt-1e3_imb-26-snaq-p548876.snaq.net-1.networks,"((r5:1,(r7:1,r6:1.01270755189):0.164038808787):0.0187525279603,r4:1,(r3:1,(r2:1,(r0:1,r1:1):0.150932180396):0.159300900456):0);","[(['r3', 'r2', 'r0', 'r1'], ['r6'], 0.5, {}, '0.112')]","['r3', 'r2', 'r0', 'r1']",['r6'],0.5,0.9189337870999067,0.112,"(['r3', 'r2', 'r0', 'r1'], ['r6'], 0.9189337870999067, {'stroke': array((0.46494118, 0.78619608, 0.64611765, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.224, 'stroke-width': 2})"
87,snaq-gt-1e3_imb-37-snaq-p548876.snaq.net-1.networks,"((r2:1,((r3:1,r4:1):0.0101393707096,(r5:1,(r6:1,r7:1):0.162143998315):0.00972569249393):0.160901854395):0.204687713439,r0:1,r1:1.61446193789);","[(['r6', 'r7'], ['r1'], 0.5, {}, '0.0314')]","['r6', 'r7']",['r1'],0.5,0.7394345362682605,0.0314,"(['r6', 'r7'], ['r1'], 0.7394345362682605, {'stroke': array((0.26026667, 0.45018039, 0.70178824, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0628, 'stroke-width': 2})"
88,snaq-gt-1e3_imb-70-snaq-p548876.snaq.net-1.networks,"((r2:1,(r3:1,(r4:1,((r6:1,r7:1):0.136327002759,r5:1.04713281235):0.0101436770195):0.00901139882813):0.163516323054):0.160816353685,r0:1,r1:2);","[(['r1'], ['r5'], 0.5, {}, '0.0771')]",['r1'],['r5'],0.5,0.8195696412290682,0.0771,"(['r1'], ['r5'], 0.8195696412290682, {'stroke': array((0.30660392, 0.65661176, 0.69016471, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1542, 'stroke-width': 2})"
89,snaq-gt-1e3_imb-80-snaq-p548876.snaq.net-1.networks,"(r1:1,r0:1,(r2:1,(r4:1,(r3:1,(r5:1,(r6:1,r7:2):0.159741995586):0.0246496506573):0.00469247678913):0.154573747304):0.156440496166);","[(['r7'], ['r2', 'r4', 'r3', 'r5', 'r6', 'r7'], 0.5, {}, '0.0611')]",['r7'],"['r2', 'r4', 'r3', 'r5', 'r6', 'r7']",0.5,0.9178668036847547,0.0611,"(['r7'], ['r2', 'r4', 'r3', 'r5', 'r6', 'r7'], 0.9178668036847547, {'stroke': array((0.24134902, 0.58382745, 0.72028235, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1222, 'stroke-width': 2})"
