,net,trees,admix,src_node,dest_node,pos_as_prop,pos_as_prop_rand,gamma,plot_admix
64,snaq-ne-1e5-imb-32-snaq-p548876.snaq.net-1.networks,"(((r3:1,(r4:1,(r5:1,(r6:1,r7:1):0.679301820599):0.0222232433106):0.0366804809401):0.709430085215,r2:2):1.21673078357,r0:1,r1:1.07521780244);","[(['r2'], ['r1'], 0.5, {}, '0.17')]",['r2'],['r1'],0.5,0.9247411658221135,0.17,"(['r2'], ['r1'], 0.9247411658221135, {'stroke': array((0.76313725, 0.90431373, 0.62431373, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.34, 'stroke-width': 2})"
65,snaq-ne-1e5-imb-23-snaq-p548876.snaq.net-1.networks,"(((r3:1,(r4:1,(r5:1,(r6:1,r7:1):0.708208004673):0.0178842439582):0.0263636146119):0.722165692021,r2:2):1.22794609096,r0:1,r1:1.00892025838);","[(['r2'], ['r1'], 0.5, {}, '0.182')]",['r2'],['r1'],0.5,0.9569255316923083,0.182,"(['r2'], ['r1'], 0.9569255316923083, {'stroke': array((0.81866667, 0.92690196, 0.61301961, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.364, 'stroke-width': 2})"
66,snaq-ne-1e5-imb-87-snaq-p548876.snaq.net-1.networks,"((r4:1,(r5:1,((r6:1,r7:1):0.688351754723,(r2:1,(r1:1,r0:1):0.929984621364):6.95503738696):0.0266068983406):0.035537758778):0.122215528639,r3:1);","[(['r2', 'r1', 'r0'], ['r4', 'r5', 'r6', 'r7', 'r2', 'r1', 'r0', 'r3'], 0.5, {}, '0.465')]","['r2', 'r1', 'r0']","['r4', 'r5', 'r6', 'r7', 'r2', 'r1', 'r0', 'r3']",0.5,0.5944598007976875,0.465,"(['r2', 'r1', 'r0'], ['r4', 'r5', 'r6', 'r7', 'r2', 'r1', 'r0', 'r3'], 0.5944598007976875, {'stroke': array((0.77058824, 0.17137255, 0.2945098, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.93, 'stroke-width': 2})"
67,snaq-ne-1e5-imb-57-snaq-p548876.snaq.net-1.networks,"((r4:1,(r3:1,(r2:1,(r0:1,r1:1):0.899325845279):0.765047409102):0.0538630698587):0.0332777838626,r5:1,(r7:1,r6:1):0.717143310725);","[(['r2', 'r0', 'r1'], ['r7', 'r6'], 0.5, {}, '0.34')]","['r2', 'r0', 'r1']","['r7', 'r6']",0.5,0.21203184507415795,0.34,"(['r2', 'r0', 'r1'], ['r7', 'r6'], 0.21203184507415795, {'stroke': array((0.99294118, 0.72156863, 0.41333333, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.68, 'stroke-width': 2})"
68,snaq-ne-1e5-imb-35-snaq-p548876.snaq.net-1.networks,"(r0:1,(r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1):0.732443971177):0.0205124445245):0.0497242291653):0.918350390386):0.869851491529,r1:1);","[(['r6', 'r7'], ['r3', 'r4', 'r5', 'r6', 'r7'], 0.5, {}, '0.073')]","['r6', 'r7']","['r3', 'r4', 'r5', 'r6', 'r7']",0.5,0.7458440497562454,0.073,"(['r6', 'r7'], ['r3', 'r4', 'r5', 'r6', 'r7'], 0.7458440497562454, {'stroke': array((0.28988235, 0.63796078, 0.69788235, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.146, 'stroke-width': 2})"
69,snaq-ne-1e5-imb-48-snaq-p548876.snaq.net-1.networks,"(r1:1,(r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1):0.729732273837):0.0286351721398):0.0306674215608):0.906101245898):0.920652870021,r0:1);","[(['r6', 'r7'], ['r3', 'r4', 'r5', 'r6', 'r7'], 0.5, {}, '0.129')]","['r6', 'r7']","['r3', 'r4', 'r5', 'r6', 'r7']",0.5,0.13433541883430256,0.129,"(['r6', 'r7'], ['r3', 'r4', 'r5', 'r6', 'r7'], 0.13433541883430256, {'stroke': array((0.55694118, 0.82219608, 0.64478431, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.258, 'stroke-width': 2})"
70,snaq-ne-1e5-imb-44-snaq-p548876.snaq.net-1.networks,"(r1:1,(((r4:1,(r5:1,(r6:1,r7:1):0.721297902634):0.0111779650534):0.0343143022836,r3:1.01885049415):1.17602645136,r2:2):0.750276142074,r0:1);","[(['r2'], ['r3'], 0.5, {}, '0.159')]",['r2'],['r3'],0.5,0.9207379278313398,0.159,"(['r2'], ['r3'], 0.9207379278313398, {'stroke': array((0.71223529, 0.88360784, 0.63466667, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.318, 'stroke-width': 2})"
71,snaq-ne-1e5-imb-11-snaq-p548876.snaq.net-1.networks,"((r5:1,(r6:1,r7:1):0.759519727517):0.0272117653658,(r3:1,(r2:1,(r0:1,r1:1):0.919564651303):0.861723625871):0.0605834702069,r4:1);","[(['r2', 'r0', 'r1'], ['r6', 'r7'], 0.5, {}, '0.215')]","['r2', 'r0', 'r1']","['r6', 'r7']",0.5,0.07606408848380175,0.215,"(['r2', 'r0', 'r1'], ['r6', 'r7'], 0.07606408848380175, {'stroke': array((0.93137255, 0.97254902, 0.64196078, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.43, 'stroke-width': 2})"
72,snaq-ne-1e5-imb-16-snaq-p548876.snaq.net-1.networks,"(((r3:1,(r4:1,(r5:1,(r6:1,r7:1):0.689360946769):0.0349789577103):0.0376628700852):0.733166471009,r2:2):1.1313540069,r1:1,r0:1.09132046071);","[(['r2'], ['r0'], 0.5, {}, '0.124')]",['r2'],['r0'],0.5,0.5183829191473217,0.124,"(['r2'], ['r0'], 0.5183829191473217, {'stroke': array((0.52988235, 0.81160784, 0.64517647, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.248, 'stroke-width': 2})"
73,snaq-ne-1e5-imb-92-snaq-p548876.snaq.net-1.networks,"((r4:1,(r5:1,(r6:1,r7:1):0.736617489124):0.0197620262854):0.0981439018093,r3:1,(r2:1,(r0:1,r1:1):0.939556906003):0.647933558674);","[(['r2', 'r0', 'r1'], ['r6', 'r7'], 0.5, {}, '0.488')]","['r2', 'r0', 'r1']","['r6', 'r7']",0.5,0.80437888246482,0.488,"(['r2', 'r0', 'r1'], ['r6', 'r7'], 0.80437888246482, {'stroke': array((0.67137255, 0.06133333, 0.27105882, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.976, 'stroke-width': 2})"
